Precinct,Yes,No
ALHA101,195,287
ALHA801,5,22
ALHA802,22,30
ALHA803,10,3
ALHA804,59,64
ALHA805,23,30
ALHA806,0,1
ALMO101,239,333
ALMO102,535,650
ALMO103,368,408
ALMO104,346,507
ALMO105,194,292
ALMO106,326,425
ALMO107,279,311
ALMO108,268,333
ALMO109,321,430
ALMO110,298,506
ALMO111,336,436
ALMO112,201,298
ANTI101,116,92
ANTI102,287,267
ANTI103,298,199
ANTI104,355,305
ANTI105,312,248
ANTI106,261,259
ANTI107,326,243
ANTI108,384,467
ANTI109,371,377
ANTI110,340,279
ANTI111,372,424
ANTI112,235,183
ANTI113,198,158
ANTI114,297,208
ANTI115,316,289
ANTI116,203,175
ANTI117,309,345
ANTI118,233,222
ANTI119,393,283
ANTI120,414,379
ANTI121,295,256
ANTI122,435,346
ANTI123,475,380
ANTI124,477,316
ANTI125,307,312
ANTI126,233,201
ANTI127,328,298
ANTI128,288,236
ANTI129,192,178
ANTI130,244,225
ANTI131,348,345
ANTI132,289,211
ANTI133,453,333
ANTI134,366,269
ANTI135,304,270
ANTI136,359,278
ANTI137,264,274
ANTI138,393,290
ANTI139,335,288
ANTI140,180,184
ANTI141,386,261
ANTI142,244,188
ANTI143,446,316
ANTI144,206,195
ANTI145,270,167
ANTI146,297,253
ANTI147,324,320
ANTI148,270,150
ANTI149,191,112
ANTI150,233,249
ANTI151,171,113
ANTI152,257,154
ANTI801,2,1
ANTI802,6,5
AYER101,143,220
BAPO101,376,254
BAPO102,121,66
BAPO103,337,187
BAPO104,276,141
BAPO105,271,157
BAPO106,259,204
BAPO107,337,297
BAPO108,200,119
BAPO109,269,169
BAPO801,3,1
BAPO802,0,3
BETH101,364,585
BETH801,0,0
BKDI801,5,4
BKDI802,77,123
BKDI803,1,1
BKDI804,2,0
BKHW101,414,558
BKHW102,341,510
BKHW103,252,375
BKHW104,346,358
BKHW105,229,334
BKHW106,306,468
BKHW107,352,424
BKHW108,332,345
BREN101,396,369
BREN102,303,278
BREN103,355,463
BREN104,329,374
BREN105,164,151
BREN106,175,142
BREN107,381,393
BREN108,440,393
BREN109,337,499
BREN110,297,415
BREN111,526,571
BREN112,325,271
BREN113,265,320
BREN114,189,238
BREN115,272,240
BREN116,492,651
BREN117,155,211
BREN118,303,381
BREN119,358,373
BREN120,252,248
BREN121,202,260
BREN122,208,335
BREN123,295,382
BREN124,440,477
BREN125,69,88
BREN126,391,354
BREN127,564,753
BREN128,527,712
BREN129,167,194
BREN130,307,324
BREN131,213,212
BREN132,201,253
BREN133,215,298
BREN801,3,1
BREN802,34,33
BRHL101,242,297
BRHL102,271,283
BRHL103,369,399
BRHL801,0,0
BRVL101,130,196
BRVL801,66,93
BYRN101,120,192
BYRN801,32,85
BYRN802,9,32
BYRN803,1,1
CANY801,83,64
CASR101,161,212
CLAY101,393,460
CLAY102,420,518
CLAY103,298,277
CLAY104,362,392
CLAY105,458,536
CLAY106,291,419
CLAY107,485,576
CLYD101,156,153
CONC101,221,161
CONC102,372,219
CONC103,360,282
CONC104,308,321
CONC105,341,323
CONC106,357,236
CONC107,403,350
CONC108,384,260
CONC109,382,358
CONC110,392,241
CONC111,342,310
CONC112,356,275
CONC113,355,365
CONC114,314,331
CONC115,474,464
CONC116,479,224
CONC117,405,265
CONC118,585,292
CONC119,371,272
CONC120,391,337
CONC121,333,347
CONC122,271,318
CONC123,404,356
CONC124,421,435
CONC125,336,308
CONC126,414,500
CONC127,249,242
CONC128,422,450
CONC129,279,316
CONC130,208,175
CONC131,325,222
CONC132,228,281
CONC133,336,326
CONC134,330,328
CONC136,566,488
CONC137,289,222
CONC138,348,343
CONC139,323,246
CONC140,267,263
CONC141,293,268
CONC142,249,322
CONC143,506,380
CONC144,456,426
CONC145,343,221
CONC146,362,220
CONC147,373,271
CONC148,491,402
CONC149,343,330
CONC150,366,382
CONC151,173,202
CONC152,360,326
CONC153,327,339
CONC154,224,219
CONC155,265,279
CONC156,328,353
CONC157,294,283
CONC158,379,278
CONC159,438,356
CONC160,250,346
CONC161,338,352
CONC163,288,201
CONC164,357,396
CONC165,299,151
CONC801,13,21
CONC802,3,3
CONC803,0,0
CONC804,12,8
CROC101,598,442
CROC102,289,224
CROC801,0,1
DANV101,228,344
DANV102,160,259
DANV103,314,380
DANV104,470,501
DANV105,440,533
DANV106,432,452
DANV107,519,494
DANV108,441,568
DANV109,273,301
DANV110,193,185
DANV111,261,245
DANV112,415,445
DANV113,259,366
DANV114,397,478
DANV115,266,396
DANV116,216,261
DANV117,368,402
DANV118,330,418
DANV119,525,643
DANV120,401,541
DANV121,215,317
DANV122,283,381
DANV123,331,342
DANV124,234,256
DANV125,161,206
DANV126,483,585
DANV127,301,321
DANV128,234,297
DANV129,422,505
DANV130,254,351
DBAY101,491,602
DBAY102,352,550
DBAY103,139,369
DBAY104,256,684
DBAY105,130,199
DBAY106,331,805
DBAY107,289,499
DBAY801,41,100
DIAB101,272,361
ELCR101,575,495
ELCR102,501,551
ELCR103,414,230
ELCR104,560,519
ELCR105,379,415
ELCR106,322,288
ELCR107,327,317
ELCR108,391,386
ELCR109,502,463
ELCR110,480,482
ELCR111,407,355
ELCR112,366,290
ELCR113,530,589
ELCR114,339,281
ELCR115,314,222
ELSO101,429,316
ELSO102,478,319
ELSO103,269,266
ELSO104,372,295
ELSO105,459,405
ELSO106,413,254
ELSO107,193,143
ELSO801,2,0
ELSO802,59,86
ELSO803,2,12
ERIC101,509,449
ERIC102,492,506
ERIC103,201,174
ERIC801,19,19
FAIR801,0,1
GIAN101,303,206
GIAN102,248,162
GIAN103,354,307
GIAN104,442,329
GIAN105,293,174
HERC101,543,399
HERC102,563,420
HERC103,301,174
HERC104,375,307
HERC105,241,233
HERC106,348,302
HERC107,430,323
HERC108,356,255
HERC109,419,324
HERC110,286,283
HERC111,327,286
HERC113,471,351
HERC114,376,209
KENS101,290,290
KENS102,410,323
KENS103,574,529
KENS104,451,443
KENS801,1,0
KENS802,1,0
KNGT101,204,392
KNGT801,18,16
KNGT802,1,7
KNGT803,33,36
KNGT804,39,27
LAST801,18,27
LFET101,437,521
LFET102,347,406
LFET103,351,361
LFET104,389,418
LFET105,355,363
LFET106,337,331
LFET107,475,520
LFET108,584,458
LFET109,547,557
LFET110,309,297
LFET111,364,387
LFET112,153,184
LFET113,365,425
LFET114,355,382
LFET115,300,378
LFET116,406,572
LFET117,483,616
MARC801,77,86
MARC802,10,9
MARC803,8,13
MART101,274,181
MART103,184,128
MART104,445,360
MART106,215,151
MART107,343,384
MART108,360,405
MART109,353,334
MART110,245,240
MART111,443,579
MART112,309,298
MART114,239,209
MART115,297,303
MART116,184,191
MART117,200,267
MART118,289,321
MART120,387,386
MART125,307,193
MART126 0,171,184
MART801,1,0
MART802,80,88
MART803,31,23
MART804,66,72
MART805,54,60
MART806 0,55,38
MART807 0,45,15
MART808 0,69,63
MART809 0,5,2
MART810 0,43,43
MART811 0,67,40
MART812 0,16,9
MART813 0,68,46
MART814 0,4,2
MART815 0,35,55
MART816 0,17,13
MART817 0,21,14
MART818 0,81,63
MART819 0,12,16
MART820 0,55,30
MART821 0,79,61
MART822 0,83,72
MART823 0,12,11
MART824 0,5,15
MART825 0,7,12
MART826 0,40,91
MART827 0,0,0
MART828 0,7,18
MART829 0,2,2
MART830 0,96,55
MART831 0,129,99
MART832 0,125,118
MART833 0,132,65
MART834 0,148,150
MART835 0,140,82
MART836 0,110,111
MART837 0,77,41
MART838 0,30,42
MART839 0,97,132
MART840 0,109,82
MART841 0,148,109
MART842 0,111,128
MART843 0,93,116
MART844 0,113,136
MART845 0,5,5
MART846 0,196,155
MART847 0,161,148
MART848 0,70,66
MART849 0,89,118
MART850 0,163,166
MDIA101,133,193
MDIA801,1,5
MDIA802,2,2
MORG101,549,673
MORG102,395,353
MORG103,414,611
MORG104,509,639
MORG105,490,582
MORG106,507,546
MORG107,563,653
MORG108,359,458
MVIE101,229,179
MVIE102,254,228
MVIE801 0,0,0
MVIE802 0,3,3
NCYN101,235,206
NICH801,3,3
NRIC101,341,213
NRTV801,0,7
NRTV802,2,8
OKLY101,286,290
OKLY102,333,315
OKLY103,322,364
OKLY104,551,404
OKLY105,304,329
OKLY106,339,443
OKLY107,215,195
OKLY108,238,261
OKLY109,258,206
OKLY110,290,349
OKLY111,207,284
OKLY112,212,262
OKLY113,476,487
OKLY114,335,431
OKLY115,286,329
OKLY116,369,416
OKLY117,250,260
OKLY118,195,163
OKLY119,203,202
OKLY801,1,2
OLEU801,1,6
OLEU802,6,10
ORDA101,622,661
ORDA102,287,289
ORDA103,384,444
ORDA104,222,278
ORDA105,405,575
ORDA106,485,607
ORDA107,497,600
ORDA108,533,540
ORDA109,350,374
ORDA110,172,214
ORDA111,525,588
ORDA112,374,450
ORDA113,165,187
ORDA801,3,0
PACH101,474,436
PACH102,293,206
PACH801,0,3
PACH802,40,48
PACH803,1,1
PINL102,341,244
PINL103,365,280
PINL104,258,240
PINL105,419,298
PINL106,301,261
PINL107,275,230
PINL108,405,330
PINL109,276,206
PINL110,422,405
