Precinct,GREG CONLON,FIONA MA
RODO101,158,446
RODO102,153,548
RODO103,201,569
RODO104,144,490
ROLL101,91,547
SARA101,108,368
SARA102,178,706
SARA103,229,643
SARA105,146,363
SARA106,191,458
SARA801,0,2
SARA802,53,108
SHEL101,73,91
SHEL102,94,266
SPAB101,83,744
SPAB102,34,320
SPAB103,55,355
SPAB104,65,464
SPAB105,54,337
SPAB106,103,672
SPAB107,97,509
SPAB108,59,432
SPAB109,48,387
SPAB110,72,527
SRAM101,217,415
SRAM102,250,547
SRAM103,336,450
SRAM104,288,464
SRAM105,202,379
SRAM106,278,501
SRAM107,305,466
SRAM108,242,569
SRAM109,260,506
SRAM110,287,437
SRAM111,356,642
SRAM112,327,518
SRAM113,270,445
SRAM114,236,315
SRAM115,313,550
SRAM116,248,447
SRAM117,356,661
SRAM118,217,367
SRAM119,147,400
SRAM120,326,450
SRAM121,184,209
SRAM122,146,497
SRAM123,177,627
SRAM124,88,338
SRAM125,258,385
SRAM126,192,417
SRAM127,64,236
SRAM128,250,623
SRAM129,206,297
SRAM130,195,370
SRAM131,109,382
SRAM132,208,444
SRAM133,206,573
SRAM134,145,417
SRAM135,108,376
SRAM136,190,299
SRAM137,160,550
SRAM138,125,370
SRAM139,145,337
SRAM140,110,402
SRAM141,194,395
SRAM142,109,373
SRAM801,0,0
STMY801,50,71
TASJ101,135,95
TASJ801,1,0
TASJ802,69,52
TASJ803,23,13
TASJ804,16,73
TESO801,0,0
VIER801,7,4
VINE101,251,461
VINE102,116,264
VINE801,46,52
VINE802,29,56
VINE803 0,4,15
WALD101,161,497
WALD102,247,860
WALD103,119,474
WALD801,12,72
WLCR101,368,840
WLCR102,236,688
WLCR103,455,996
WLCR104,111,208
WLCR105,288,552
WLCR106,331,832
WLCR107,76,247
WLCR108,139,328
WLCR109,145,223
WLCR110,260,586
WLCR111,273,610
WLCR112,210,493
WLCR113,202,627
WLCR114,81,220
WLCR115,168,359
WLCR116,156,330
WLCR117,375,689
WLCR118,156,237
WLCR119,252,639
WLCR120,260,746
WLCR121,267,722
WLCR122,177,427
WLCR123,132,593
WLCR124,106,422
WLCR125,284,563
WLCR126,206,747
WLCR127,240,601
WLCR129,265,747
WLCR130,221,373
WLCR131,189,471
WLCR132,336,419
WLCR133,229,609
WLCR134,296,476
WLCR135,231,757
WLCR136,116,270
WLCR137,279,763
WLCR138,295,507
WLCR139,293,500
WLCR140,290,559
WLCR141,304,590
WLCR142,252,701
WLCR143,193,542
WLCR144,150,578
WLCR801,69,120
WLCR802,0,2
WLCR803,21,37
WLCR804,55,136
WLCR805,0,0
WLKN101,294,576
WLKN102,211,406
WLKN103,161,350
WLKN801,58,93
CALD801,0,9
CONC135,318,410
