Precinct,Yes,No
ALHA101,238,72
ALHA801,12,6
ALHA802,30,3
ALHA803,10,1
ALHA804,63,26
ALHA805,23,8
ALHA806,0,0
ALMO101,290,71
ALMO102,636,140
ALMO103,417,87
ALMO104,425,110
ALMO105,237,56
ALMO106,350,109
ALMO107,291,58
ALMO108,321,73
ALMO109,378,93
ALMO110,420,85
ALMO111,391,118
ALMO112,257,70
ANTI101,132,45
ANTI102,347,109
ANTI103,297,95
ANTI104,382,131
ANTI105,355,104
ANTI106,300,90
ANTI107,334,113
ANTI108,471,157
ANTI109,451,106
ANTI110,370,117
ANTI111,422,158
ANTI112,258,74
ANTI113,211,78
ANTI114,289,104
ANTI115,375,120
ANTI116,226,75
ANTI117,353,140
ANTI118,272,80
ANTI119,424,122
ANTI120,461,133
ANTI121,346,79
ANTI122,475,135
ANTI123,528,139
ANTI124,491,117
ANTI125,360,128
ANTI126,237,85
ANTI127,358,128
ANTI128,312,96
ANTI129,220,67
ANTI130,252,97
ANTI131,406,127
ANTI132,277,94
ANTI133,509,118
ANTI134,373,108
ANTI135,350,102
ANTI136,397,106
ANTI137,324,94
ANTI138,412,115
ANTI139,384,116
ANTI140,223,56
ANTI141,419,84
ANTI142,280,74
ANTI143,473,103
ANTI144,250,70
ANTI145,259,89
ANTI146,314,103
ANTI147,399,116
ANTI148,274,75
ANTI149,177,72
ANTI150,268,97
ANTI151,159,54
ANTI152,245,71
ANTI801,1,2
ANTI802,8,0
AYER101,192,65
BAPO101,410,119
BAPO102,114,42
BAPO103,357,89
BAPO104,263,79
BAPO105,274,82
BAPO106,271,89
BAPO107,351,124
BAPO108,211,49
BAPO109,255,100
BAPO801,0,0
BAPO802,2,1
BETH101,459,216
BETH801,0,0
BKDI801,6,0
BKDI802,110,43
BKDI803,1,0
BKDI804,2,0
BKHW101,486,140
BKHW102,448,136
BKHW103,305,103
BKHW104,412,100
BKHW105,282,103
BKHW106,408,100
BKHW107,427,117
BKHW108,374,93
BREN101,460,126
BREN102,325,96
BREN103,415,151
BREN104,355,132
BREN105,169,78
BREN106,183,53
BREN107,425,139
BREN108,492,120
BREN109,406,161
BREN110,376,117
BREN111,592,196
BREN112,378,95
BREN113,289,110
BREN114,232,71
BREN115,257,99
BREN116,590,183
BREN117,189,52
BREN118,365,134
BREN119,378,128
BREN120,272,97
BREN121,245,75
BREN122,266,93
BREN123,351,123
BREN124,512,189
BREN125,68,38
BREN126,420,100
BREN127,742,165
BREN128,650,137
BREN129,190,52
BREN130,344,122
BREN131,215,85
BREN132,266,71
BREN133,286,90
BREN801,2,2
BREN802,37,13
BRHL101,290,82
BRHL102,306,57
BRHL103,457,70
BRHL801,0,0
BRVL101,154,64
BRVL801,88,25
BYRN101,161,58
BYRN801,49,36
BYRN802,15,10
BYRN803,1,0
CANY801,98,22
CASR101,188,48
CLAY101,464,118
CLAY102,476,135
CLAY103,304,78
CLAY104,342,127
CLAY105,524,144
CLAY106,340,114
CLAY107,547,173
CLYD101,163,60
CONC101,229,59
CONC102,350,96
CONC103,379,106
CONC104,327,115
CONC105,368,120
CONC106,344,76
CONC107,462,102
CONC108,368,91
CONC109,389,122
CONC110,368,82
CONC111,376,89
CONC112,314,125
CONC113,405,106
CONC114,329,122
CONC115,540,141
CONC116,464,88
CONC117,399,110
CONC118,570,126
CONC119,359,122
CONC120,419,115
CONC121,380,96
CONC122,305,93
CONC123,448,106
CONC124,464,128
CONC125,336,109
CONC126,518,122
CONC127,244,69
CONC128,464,119
CONC129,315,99
CONC130,216,49
CONC131,298,77
CONC132,299,52
CONC133,356,118
CONC134,373,104
CONC136,582,164
CONC137,281,84
CONC138,372,96
CONC139,350,82
CONC140,307,57
CONC141,333,56
CONC142,314,89
CONC143,519,99
CONC144,559,73
CONC145,351,93
CONC146,322,103
CONC147,375,116
CONC148,523,139
CONC149,373,97
CONC150,403,119
CONC151,196,49
CONC152,369,104
CONC153,366,86
CONC154,269,60
CONC155,301,64
CONC156,367,99
CONC157,295,108
CONC158,368,106
CONC159,429,117
CONC160,284,92
CONC161,398,80
CONC163,282,94
CONC164,430,83
CONC165,298,64
CONC801,16,1
CONC802,3,2
CONC803,0,0
CONC804,14,2
CROC101,566,161
CROC102,306,68
CROC801,0,0
DANV101,260,84
DANV102,202,43
DANV103,391,90
DANV104,485,128
DANV105,510,119
DANV106,444,118
DANV107,560,106
DANV108,511,124
DANV109,302,65
DANV110,194,56
DANV111,281,53
DANV112,459,118
DANV113,333,71
DANV114,458,111
DANV115,348,98
DANV116,272,61
DANV117,407,98
DANV118,416,86
DANV119,642,147
DANV120,479,120
DANV121,295,75
DANV122,344,93
DANV123,339,94
DANV124,281,50
DANV125,180,41
DANV126,590,135
DANV127,333,87
DANV128,276,69
DANV129,493,111
DANV130,359,79
DBAY101,612,188
DBAY102,454,194
DBAY103,227,92
DBAY104,422,192
DBAY105,175,67
DBAY106,538,213
DBAY107,380,152
DBAY801,59,29
DIAB101,287,89
ELCR101,611,91
ELCR102,587,91
ELCR103,370,73
ELCR104,630,106
ELCR105,457,70
ELCR106,338,66
ELCR107,356,69
ELCR108,431,72
ELCR109,549,96
ELCR110,548,82
ELCR111,462,70
ELCR112,397,60
ELCR113,648,84
ELCR114,370,68
ELCR115,300,60
ELSO101,399,112
ELSO102,450,137
ELSO103,296,78
ELSO104,368,92
ELSO105,502,138
ELSO106,398,86
ELSO107,204,51
ELSO801,0,0
ELSO802,73,19
ELSO803,7,2
ERIC101,515,110
ERIC102,572,114
ERIC103,223,37
ERIC801,16,7
FAIR801,1,0
GIAN101,320,99
GIAN102,264,62
GIAN103,386,126
GIAN104,436,139
GIAN105,298,76
HERC101,551,136
HERC102,587,146
HERC103,309,77
HERC104,414,84
HERC105,278,71
HERC106,389,98
HERC107,429,107
HERC108,352,103
HERC109,461,99
HERC110,357,91
HERC111,385,82
HERC113,521,101
HERC114,365,92
KENS101,357,40
KENS102,416,64
KENS103,627,69
KENS104,528,53
KENS801,0,0
KENS802,0,0
KNGT101,261,129
KNGT801,20,5
KNGT802,0,1
KNGT803,36,17
KNGT804,37,9
LAST801,13,8
LFET101,494,96
LFET102,366,70
LFET103,381,59
LFET104,450,58
LFET105,407,59
LFET106,357,84
LFET107,561,92
LFET108,581,104
LFET109,622,99
LFET110,350,69
LFET111,409,79
LFET112,184,38
LFET113,405,87
LFET114,406,58
LFET115,354,63
LFET116,522,80
LFET117,578,101
MARC801,82,37
MARC802,5,6
MARC803,9,4
MART101,250,59
MART103,172,44
MART104,446,108
MART106,197,47
MART107,439,104
MART108,396,118
MART109,390,89
MART110,262,71
MART111,562,148
MART112,363,74
MART114,257,70
MART115,313,95
MART116,193,58
MART117,200,75
MART118,332,92
MART120,436,90
MART125,305,89
MART126 0,199,50
MART801,1,0
MART802,84,22
MART803,21,8
MART804,75,15
MART805,66,12
MART806 0,51,19
MART807 0,37,10
MART808 0,67,15
MART809 0,6,1
MART810 0,40,10
MART811 0,75,9
MART812 0,17,2
MART813 0,71,18
MART814 0,1,3
MART815 0,60,15
MART816 0,18,5
MART817 0,26,5
MART818 0,85,26
MART819 0,12,7
MART820 0,51,15
MART821 0,72,22
MART822 0,75,24
MART823 0,15,4
MART824 0,7,6
MART825 0,8,5
MART826 0,73,21
MART827 0,0,0
MART828 0,14,3
MART829 0,3,0
