Precinct,DEBBIE MCKILLOP,JOHN STEVENS
MART101,283,137
MART103,169,98
MART117,238,200
MART118,302,282
MART802,75,69
MART803,26,23
MART804,66,69
MART805,27,85
MART809 0,4,3
MART824 0,7,9
MART825 0,10,10
MART826 0,61,58
MART829 0,3,0
MART832 0,131,95
MART839 0,112,97
MART840 0,101,79
MART843 0,92,110
MART844 0,75,167
MART845 0,8,2
MART846 0,152,170
MART847 0,90,204
MART848 0,65,58
MART849 0,117,69
MART850 0,112,209
