Precinct,Yes,No
ALHA101,279,208
ALHA801,13,14
ALHA802,30,20
ALHA803,6,7
ALHA804,79,40
ALHA805,32,18
ALHA806,1,0
ALMO101,321,242
ALMO102,682,482
ALMO103,456,312
ALMO104,463,367
ALMO105,250,226
ALMO106,376,357
ALMO107,354,231
ALMO108,359,226
ALMO109,381,359
ALMO110,363,427
ALMO111,427,334
ALMO112,258,242
ANTI101,135,74
ANTI102,368,182
ANTI103,361,129
ANTI104,450,210
ANTI105,391,172
ANTI106,338,183
ANTI107,397,166
ANTI108,527,324
ANTI109,448,286
ANTI110,418,200
ANTI111,514,266
ANTI112,280,131
ANTI113,235,114
ANTI114,373,135
ANTI115,411,190
ANTI116,251,119
ANTI117,394,243
ANTI118,302,153
ANTI119,480,184
ANTI120,538,247
ANTI121,388,166
ANTI122,536,227
ANTI123,585,260
ANTI124,581,206
ANTI125,431,198
ANTI126,291,135
ANTI127,412,214
ANTI128,359,154
ANTI129,242,126
ANTI130,302,166
ANTI131,442,248
ANTI132,358,134
ANTI133,557,222
ANTI134,449,169
ANTI135,386,186
ANTI136,455,177
ANTI137,356,175
ANTI138,465,202
ANTI139,427,200
ANTI140,218,137
ANTI141,437,192
ANTI142,310,120
ANTI143,539,224
ANTI144,260,134
ANTI145,308,125
ANTI146,384,158
ANTI147,441,191
ANTI148,308,99
ANTI149,208,89
ANTI150,305,177
ANTI151,190,89
ANTI152,302,112
ANTI801,0,3
ANTI802,10,2
AYER101,202,158
BAPO101,442,168
BAPO102,128,49
BAPO103,404,109
BAPO104,300,116
BAPO105,298,123
BAPO106,322,134
BAPO107,446,187
BAPO108,215,100
BAPO109,293,135
BAPO801,4,0
BAPO802,2,1
BETH101,553,383
BETH801,0,0
BKDI801,0,9
BKDI802,102,94
BKDI803,0,2
BKDI804,2,0
BKHW101,534,427
BKHW102,472,366
BKHW103,341,280
BKHW104,441,252
BKHW105,291,256
BKHW106,430,314
BKHW107,464,299
BKHW108,415,245
BREN101,481,281
BREN102,362,210
BREN103,483,346
BREN104,403,285
BREN105,203,115
BREN106,207,112
BREN107,472,300
BREN108,537,289
BREN109,458,377
BREN110,413,296
BREN111,671,413
BREN112,404,182
BREN113,368,210
BREN114,258,166
BREN115,305,197
BREN116,707,460
BREN117,205,159
BREN118,391,284
BREN119,434,276
BREN120,300,202
BREN121,270,185
BREN122,294,247
BREN123,395,291
BREN124,561,366
BREN125,83,73
BREN126,456,294
BREN127,820,490
BREN128,734,484
BREN129,210,147
BREN130,380,246
BREN131,286,142
BREN132,274,181
BREN133,283,222
BREN801,2,1
BREN802,39,28
BRHL101,334,207
BRHL102,334,202
BRHL103,491,267
BRHL801,0,0
BRVL101,178,145
BRVL801,80,85
BYRN101,147,160
BYRN801,52,62
BYRN802,22,20
BYRN803,1,1
CANY801,121,28
CASR101,216,148
CLAY101,519,332
CLAY102,551,379
CLAY103,360,207
CLAY104,463,293
CLAY105,623,382
CLAY106,413,288
CLAY107,648,394
CLYD101,188,118
CONC101,268,106
CONC102,429,157
CONC103,451,185
CONC104,399,224
CONC105,417,238
CONC106,417,163
CONC107,508,248
CONC108,466,180
CONC109,490,237
CONC110,461,156
CONC111,412,225
CONC112,406,227
CONC113,492,228
CONC114,396,248
CONC115,619,325
CONC116,529,165
CONC117,460,198
CONC118,666,197
CONC119,448,190
CONC120,517,198
CONC121,438,235
CONC122,392,197
CONC123,488,258
CONC124,553,298
CONC125,422,212
CONC126,554,354
CONC127,304,177
CONC128,541,324
CONC129,375,222
CONC130,249,128
CONC131,386,154
CONC132,316,186
CONC133,419,228
CONC134,419,232
CONC136,708,337
CONC137,360,152
CONC138,446,235
CONC139,392,176
CONC140,346,184
CONC141,341,216
CONC142,341,229
CONC143,567,298
CONC144,572,300
CONC145,416,140
CONC146,397,174
CONC147,432,202
CONC148,606,277
CONC149,413,251
CONC150,489,249
CONC151,252,126
CONC152,480,205
CONC153,425,242
CONC154,280,157
CONC155,353,185
CONC156,403,268
CONC157,362,209
CONC158,443,211
CONC159,522,263
CONC160,342,244
CONC161,417,268
CONC163,349,131
CONC164,461,286
CONC165,338,106
CONC801,23,9
CONC802,4,2
CONC803,0,0
CONC804,13,7
CROC101,746,288
CROC102,394,116
CROC801,1,0
DANV101,320,244
DANV102,255,174
DANV103,392,287
DANV104,583,382
DANV105,552,408
DANV106,514,369
DANV107,604,383
DANV108,594,406
DANV109,355,221
DANV110,219,153
DANV111,301,190
DANV112,527,335
DANV113,368,237
DANV114,511,351
DANV115,369,284
DANV116,300,172
DANV117,476,285
DANV118,451,292
