Precinct,Yes,No
ALHA101,236,81
ALHA801,10,8
ALHA802,25,3
ALHA803,8,3
ALHA804,58,28
ALHA805,22,10
ALHA806,0,0
ALMO101,265,88
ALMO102,611,167
ALMO103,410,101
ALMO104,413,133
ALMO105,224,66
ALMO106,342,117
ALMO107,276,66
ALMO108,319,82
ALMO109,364,103
ALMO110,406,102
ALMO111,366,153
ALMO112,244,85
ANTI101,125,53
ANTI102,334,118
ANTI103,272,117
ANTI104,357,154
ANTI105,327,131
ANTI106,304,85
ANTI107,330,119
ANTI108,461,167
ANTI109,429,115
ANTI110,358,129
ANTI111,418,165
ANTI112,232,102
ANTI113,214,75
ANTI114,283,108
ANTI115,357,136
ANTI116,209,96
ANTI117,333,155
ANTI118,260,91
ANTI119,395,154
ANTI120,441,158
ANTI121,297,125
ANTI122,445,159
ANTI123,498,162
ANTI124,482,136
ANTI125,365,133
ANTI126,232,98
ANTI127,345,136
ANTI128,308,103
ANTI129,202,85
ANTI130,253,99
ANTI131,386,140
ANTI132,258,110
ANTI133,467,159
ANTI134,340,143
ANTI135,336,120
ANTI136,357,143
ANTI137,315,107
ANTI138,359,164
ANTI139,374,133
ANTI140,211,70
ANTI141,383,118
ANTI142,251,88
ANTI143,444,140
ANTI144,222,96
ANTI145,237,119
ANTI146,308,110
ANTI147,376,137
ANTI148,251,95
ANTI149,182,71
ANTI150,262,105
ANTI151,161,51
ANTI152,250,64
ANTI801,3,0
ANTI802,8,0
AYER101,185,70
BAPO101,401,133
BAPO102,116,41
BAPO103,334,109
BAPO104,256,85
BAPO105,265,91
BAPO106,262,99
BAPO107,347,134
BAPO108,210,53
BAPO109,263,102
BAPO801,0,0
BAPO802,0,3
BETH101,454,219
BETH801,0,0
BKDI801,6,0
BKDI802,100,52
BKDI803,2,0
BKDI804,2,0
BKHW101,487,141
BKHW102,445,146
BKHW103,290,117
BKHW104,395,119
BKHW105,273,111
BKHW106,394,114
BKHW107,416,133
BKHW108,362,111
BREN101,458,133
BREN102,304,119
BREN103,414,163
BREN104,347,143
BREN105,155,85
BREN106,176,59
BREN107,418,154
BREN108,481,138
BREN109,393,177
BREN110,362,132
BREN111,575,227
BREN112,374,97
BREN113,283,126
BREN114,225,81
BREN115,250,101
BREN116,583,196
BREN117,179,65
BREN118,349,159
BREN119,378,139
BREN120,254,121
BREN121,237,80
BREN122,250,112
BREN123,352,122
BREN124,519,185
BREN125,82,28
BREN126,426,100
BREN127,745,163
BREN128,641,156
BREN129,194,53
BREN130,333,140
BREN131,220,89
BREN132,256,78
BREN133,290,91
BREN801,2,2
BREN802,37,13
BRHL101,292,86
BRHL102,302,65
BRHL103,435,99
BRHL801,0,0
BRVL101,159,61
BRVL801,86,26
BYRN101,162,59
BYRN801,50,34
BYRN802,17,5
BYRN803,1,0
CANY801,77,43
CASR101,186,52
CLAY101,446,141
CLAY102,471,150
CLAY103,295,87
CLAY104,338,128
CLAY105,504,168
CLAY106,332,124
CLAY107,543,195
CLYD101,152,76
CONC101,219,76
CONC102,322,122
CONC103,354,128
CONC104,324,121
CONC105,372,117
CONC106,335,86
CONC107,441,136
CONC108,330,133
CONC109,384,128
CONC110,346,102
CONC111,338,137
CONC112,308,131
CONC113,387,133
CONC114,335,115
CONC115,517,159
CONC116,428,115
CONC117,379,134
CONC118,517,183
CONC119,339,153
CONC120,392,149
CONC121,356,133
CONC122,298,101
CONC123,437,127
CONC124,449,147
CONC125,330,117
CONC126,485,176
CONC127,237,78
CONC128,467,133
CONC129,332,86
CONC130,197,68
CONC131,290,84
CONC132,283,70
CONC133,330,134
CONC134,348,125
CONC136,559,186
CONC137,262,100
CONC138,371,108
CONC139,325,102
CONC140,301,67
CONC141,294,94
CONC142,302,99
CONC143,499,128
CONC144,545,103
CONC145,343,103
CONC146,307,117
CONC147,359,139
CONC148,497,168
CONC149,356,112
CONC150,372,162
CONC151,186,64
CONC152,350,120
CONC153,346,108
CONC154,251,71
CONC155,291,77
CONC156,357,115
CONC157,302,106
CONC158,340,134
CONC159,422,133
CONC160,287,98
CONC161,379,102
CONC163,271,111
CONC164,407,108
CONC165,265,89
CONC801,13,4
CONC802,3,2
CONC803,0,0
CONC804,13,3
CROC101,514,205
CROC102,291,83
CROC801,0,0
DANV101,249,97
DANV102,207,43
DANV103,376,104
DANV104,479,138
DANV105,498,135
DANV106,434,130
DANV107,542,130
DANV108,503,130
DANV109,293,76
DANV110,191,60
DANV111,278,61
DANV112,462,123
DANV113,325,85
DANV114,449,120
DANV115,332,119
DANV116,270,68
DANV117,385,116
DANV118,398,101
DANV119,640,152
DANV120,468,131
DANV121,297,73
DANV122,359,92
DANV123,327,102
DANV124,263,71
DANV125,166,61
DANV126,565,165
DANV127,334,85
DANV128,272,78
DANV129,468,139
DANV130,353,92
DBAY101,604,197
DBAY102,459,196
DBAY103,227,89
DBAY104,441,185
DBAY105,181,63
DBAY106,531,228
DBAY107,372,162
DBAY801,67,26
DIAB101,281,100
ELCR101,532,180
ELCR102,529,161
ELCR103,320,123
ELCR104,532,209
ELCR105,404,132
ELCR106,297,107
ELCR107,302,133
ELCR108,374,131
ELCR109,482,164
ELCR110,483,162
ELCR111,387,158
ELCR112,320,128
ELCR113,532,204
ELCR114,332,113
ELCR115,255,108
ELSO101,381,137
ELSO102,422,166
ELSO103,275,98
ELSO104,334,129
ELSO105,467,166
ELSO106,351,136
ELSO107,175,78
ELSO801,0,0
ELSO802,66,29
ELSO803,6,3
ERIC101,441,192
ERIC102,471,221
ERIC103,192,68
ERIC801,16,8
FAIR801,1,0
GIAN101,309,107
GIAN102,227,92
GIAN103,372,143
GIAN104,427,154
GIAN105,271,100
HERC101,495,192
HERC102,531,203
HERC103,283,102
HERC104,389,119
HERC105,276,71
HERC106,369,113
HERC107,417,121
HERC108,341,125
HERC109,437,128
HERC110,326,120
HERC111,346,116
HERC113,476,138
HERC114,362,102
KENS101,302,92
KENS102,384,97
KENS103,533,164
KENS104,475,107
KENS801,0,0
KENS802,0,0
KNGT101,258,140
KNGT801,20,5
KNGT802,0,1
KNGT803,35,16
KNGT804,31,15
LAST801,9,11
LFET101,498,107
LFET102,337,102
LFET103,376,67
LFET104,406,104
LFET105,390,76
LFET106,333,113
LFET107,506,149
LFET108,533,158
LFET109,590,146
LFET110,324,96
LFET111,421,69
LFET112,180,42
LFET113,396,105
LFET114,398,71
LFET115,340,87
LFET116,494,114
LFET117,555,131
MARC801,85,37
MARC802,6,8
MARC803,7,7
MART101,235,70
