Precinct,Yes,No
RICH101,503,301
RICH102,317,173
RICH103,377,295
RICH104,641,287
RICH105,686,361
RICH106,480,262
RICH107,99,73
RICH108,529,188
RICH109,211,135
RICH110,324,146
RICH111,183,160
RICH112,263,226
RICH113,343,303
RICH114,335,234
RICH115,284,225
RICH116,153,122
RICH117,260,192
RICH118,373,173
RICH119,220,180
RICH120,191,148
RICH121,127,57
RICH122,544,290
RICH123,582,283
RICH124,322,188
RICH125,349,204
RICH126,307,207
RICH127,288,190
RICH128,373,240
RICH129,246,155
RICH130,245,181
RICH131,266,206
RICH132,349,233
RICH133,276,229
RICH134,219,177
RICH135,272,161
RICH136,214,173
RICH137,321,254
RICH138,202,232
RICH139,495,420
RICH140,198,172
RICH141,291,284
RICH142,534,427
RICH143,568,318
RICH144,496,268
RICH145,684,263
RICH146,96,82
RICH147,205,193
RICH148,65,57
RICH149,155,122
RICH150,171,147
RICH151,233,164
RICH152,233,131
RICH153,217,107
RICH154,309,151
RICH155,229,242
RICH156,193,209
RICH801,16,8
RICH802,23,7
RICH803,74,84
RICH804,65,60
RICH805,53,24
RICH806,60,59
RICH807,0,0
