Precinct,CHERYL HANSEN,LYNN MACKEY
RICH122,291,441
RICH123,302,483
RICH124,169,271
RICH125,240,262
RICH126,195,262
RICH127,236,192
RICH128,247,309
RICH129,186,191
RICH130,213,172
RICH131,207,221
RICH132,225,267
RICH133,176,277
RICH134,174,185
RICH135,196,199
RICH136,157,209
RICH137,206,302
RICH138,144,227
RICH139,301,512
RICH140,124,207
RICH141,162,338
RICH142,325,508
RICH143,365,439
RICH144,215,467
RICH145,258,519
RICH146,89,78
RICH147,183,195
RICH148,59,58
RICH149,128,134
RICH150,162,131
RICH151,165,200
RICH152,169,176
RICH153,158,152
RICH154,179,249
RICH155,192,222
RICH156,142,221
RICH801,6,14
RICH802,14,14
RICH803,63,71
RICH804,32,66
RICH805,15,48
RICH806,39,66
RICH807,0,0
RODO101,251,276
RODO102,300,315
RODO103,334,346
RODO104,281,271
ROLL101,303,279
SARA101,135,269
SARA102,223,494
SARA103,214,509
SARA105,140,289
SARA106,187,347
SARA801,0,2
SARA802,46,79
SHEL101,52,83
SHEL102,114,196
SPAB101,458,315
SPAB102,180,150
SPAB103,198,188
SPAB104,191,277
SPAB105,144,188
SPAB106,341,347
SPAB107,263,285
SPAB108,243,206
SPAB109,213,191
SPAB110,279,266
SRAM101,188,351
SRAM102,242,421
SRAM103,215,420
SRAM104,216,423
SRAM105,219,302
SRAM106,241,398
SRAM107,250,395
SRAM108,286,426
SRAM109,224,417
SRAM110,244,375
SRAM111,275,556
SRAM112,238,476
SRAM113,234,357
SRAM114,197,287
SRAM115,292,439
SRAM116,266,345
SRAM117,315,522
SRAM118,185,322
SRAM119,171,296
SRAM120,266,401
SRAM121,123,215
SRAM122,242,332
SRAM123,274,436
SRAM124,153,214
SRAM125,196,339
SRAM126,194,332
SRAM127,113,151
SRAM128,314,454
SRAM129,135,278
SRAM130,185,306
SRAM131,185,259
SRAM132,201,346
SRAM133,245,380
SRAM134,193,291
SRAM135,184,240
SRAM136,155,267
SRAM137,259,356
SRAM138,170,251
SRAM139,171,232
SRAM140,187,267
SRAM141,195,308
SRAM142,183,230
SRAM801,0,0
STMY801,40,60
TASJ101,81,96
TASJ801,1,0
TASJ802,38,48
TASJ803,12,15
TASJ804,25,52
TESO801,0,0
VIER801,4,5
VINE101,299,327
VINE102,169,167
VINE801,38,53
VINE802,41,28
VINE803 0,8,8
WALD101,182,358
WALD102,355,587
WALD103,182,293
WALD801,24,50
WLCR101,288,730
WLCR102,272,500
WLCR103,354,833
WLCR104,87,173
WLCR105,216,506
WLCR106,318,603
WLCR107,99,170
WLCR108,125,240
WLCR109,110,211
WLCR110,250,470
WLCR111,336,419
WLCR112,226,359
WLCR113,251,473
WLCR114,120,147
WLCR115,155,298
WLCR116,142,275
WLCR117,325,557
WLCR118,120,217
WLCR119,305,485
WLCR120,247,596
WLCR121,236,571
WLCR122,147,344
WLCR123,220,401
WLCR124,155,282
WLCR125,262,465
WLCR126,267,491
WLCR127,228,466
WLCR129,231,595
WLCR130,176,341
WLCR131,216,317
WLCR132,242,409
WLCR133,283,417
WLCR134,211,412
WLCR135,293,506
WLCR136,108,209
WLCR137,303,551
WLCR138,267,433
WLCR139,221,438
WLCR140,236,512
WLCR141,277,480
WLCR142,264,542
WLCR143,220,406
WLCR144,195,394
WLCR801,81,92
WLCR802,2,0
WLCR803,12,36
WLCR804,58,94
WLCR805,0,0
WLKN101,247,468
WLKN102,175,324
WLKN103,160,252
WLKN801,49,74
CALD801,0,4
CONC135,296,308
