Precinct,Yes,No
AYER101,212,151
BAPO101,480,139
BAPO103,399,119
BAPO104,344,75
BAPO105,343,83
BAPO106,335,128
BAPO107,436,201
BAPO108,264,51
BAPO109,357,69
BAPO801,2,2
BAPO802,3,0
BRHL101,39,30
BRHL103,450,235
BRVL101,169,153
BRVL801,79,79
CASR101,230,131
CLAY101,572,284
CLAY102,585,350
CLAY103,373,196
CLAY104,476,290
CLAY105,659,351
CLAY106,421,298
CLAY107,696,369
CLYD101,188,117
CONC101,291,87
CONC102,442,145
CONC103,469,169
CONC104,425,201
CONC105,459,200
CONC106,429,151
CONC107,547,208
CONC108,487,154
CONC109,544,188
CONC110,493,129
CONC111,458,182
CONC112,433,204
CONC113,507,210
CONC114,432,210
CONC115,616,342
CONC116,573,117
CONC117,507,151
CONC118,720,135
CONC119,491,153
CONC120,523,200
CONC121,449,230
CONC122,420,181
CONC123,549,213
CONC124,570,281
CONC125,472,168
CONC126,602,320
CONC127,300,176
CONC128,627,261
CONC129,419,188
CONC130,265,116
CONC131,403,135
CONC132,345,167
CONC133,455,213
CONC134,448,209
CONC136,746,305
CONC137,385,125
CONC138,454,232
CONC139,401,165
CONC140,346,185
CONC141,373,186
CONC142,379,194
CONC143,652,244
CONC144,639,237
CONC145,449,116
CONC146,454,125
CONC147,457,186
CONC148,634,261
CONC149,463,215
CONC150,516,225
CONC151,265,114
CONC152,496,188
CONC153,479,190
CONC154,313,134
CONC155,363,180
CONC156,437,253
CONC157,407,171
CONC158,485,173
CONC159,541,242
CONC160,367,226
CONC161,443,242
CONC163,356,129
CONC164,526,227
CONC165,358,90
CONC801,26,8
CONC802,5,1
CONC803,0,0
CONC804,14,6
MART110,324,155
MART111,507,281
MART112,421,192
MART114,295,162
MART115,406,202
MART120,530,252
MART125,392,107
MART126 0,237,114
MART804,96,45
MART805,81,36
MART839 0,143,83
MART840 0,145,51
MART841 0,180,74
MART842 0,147,90
MART846 0,242,111
MART847 0,211,98
MART848 0,104,27
MART849 0,127,78
MART850 0,233,87
NICH801,4,1
NRTV802,4,6
PACH101,624,286
PACH102,364,129
PACH801,0,3
PACH802,59,29
PACH803,1,1
PLHL101,521,168
PLHL102,438,116
PLHL103,397,193
PLHL104,775,334
PLHL105,442,232
PLHL106,650,300
PLHL107,602,300
PLHL108,701,274
PLHL109,643,209
PLHL110,546,263
PLHL111,571,279
PLHL112,446,181
PLHL113,628,223
PLHL114,663,314
PLHL115,730,204
PLHL116,519,165
PLHL117,556,173
PLHL118,520,153
PLHL119,533,168
PTTS101,529,161
PTTS102,381,153
PTTS103,370,138
PTTS104,465,150
PTTS105,218,66
PTTS132,526,161
PTTS802,0,0
SHEL101,97,67
TESO801,0,0
VINE101,9,8
VINE802,58,23
WALD102,748,189
WALD103,10,2
WALD801,66,17
WLCR110,612,233
WLCR111,623,276
WLCR112,489,206
WLCR113,644,197
WLCR114,223,87
WLCR115,360,187
WLCR116,322,157
WLCR117,704,354
WLCR118,284,117
WLCR119,642,255
WLCR130,372,237
WLCR131,486,173
WLCR132,471,299
WLCR133,320,112
WLCR138,515,296
WLCR139,511,297
WLCR140,572,298
WLCR141,618,293
WLCR142,697,257
WLCR143,544,189
WLCR801,129,70
WLCR804,125,61
WLCR805,0,0
CONC135,433,303
