Precinct,Yes,No
MART101,331,118
MART103,229,82
MART104,591,213
MART106,292,78
MART107,536,204
MART108,535,226
MART109,513,187
MART110,351,128
MART111,704,324
MART112,450,155
MART114,332,122
MART115,435,172
MART116,285,93
MART117,290,176
MART118,436,178
MART120,590,187
MART125,395,109
MART126 0,261,96
MART801,1,0
MART802,102,63
MART803,45,10
MART804,104,37
MART805,73,43
MART806 0,79,12
MART807 0,47,13
MART808 0,91,39
MART809 0,7,0
MART810 0,66,22
MART811 0,73,34
MART812 0,19,5
MART813 0,93,21
MART814 0,5,1
MART815 0,65,21
MART816 0,22,7
MART817 0,25,8
MART818 0,107,39
MART819 0,18,9
MART820 0,64,20
MART821 0,93,44
MART822 0,124,31
MART823 0,18,4
MART824 0,13,7
MART825 0,9,12
MART826 0,71,67
MART827 0,0,0
MART828 0,18,7
MART829 0,3,1
MART830 0,116,33
MART831 0,160,70
MART832 0,185,58
MART833 0,166,34
MART834 0,202,97
MART835 0,169,57
MART836 0,171,60
MART837 0,101,16
MART838 0,59,14
MART839 0,155,72
MART840 0,143,48
MART841 0,201,56
MART842 0,160,78
MART843 0,144,65
MART844 0,173,79
MART845 0,8,1
MART846 0,258,90
MART847 0,232,83
MART848 0,104,25
MART849 0,151,56
MART850 0,251,73
