Precinct,Yes,No
ALHA101,232,97
ALHA801,11,8
ALHA802,27,4
ALHA803,10,1
ALHA804,69,22
ALHA805,26,5
ALHA806,0,0
ALMO101,270,101
ALMO102,612,181
ALMO103,376,153
ALMO104,411,151
ALMO105,216,87
ALMO106,323,157
ALMO107,286,68
ALMO108,322,93
ALMO109,337,150
ALMO110,381,146
ALMO111,373,154
ALMO112,227,110
ANTI101,129,46
ANTI102,317,144
ANTI103,281,119
ANTI104,371,152
ANTI105,354,109
ANTI106,281,114
ANTI107,332,120
ANTI108,428,210
ANTI109,409,149
ANTI110,362,135
ANTI111,414,173
ANTI112,240,99
ANTI113,200,88
ANTI114,282,113
ANTI115,354,142
ANTI116,213,89
ANTI117,332,167
ANTI118,252,109
ANTI119,403,157
ANTI120,452,156
ANTI121,332,95
ANTI122,458,157
ANTI123,499,178
ANTI124,497,124
ANTI125,356,140
ANTI126,215,113
ANTI127,334,165
ANTI128,283,130
ANTI129,196,95
ANTI130,250,107
ANTI131,397,145
ANTI132,264,120
ANTI133,485,152
ANTI134,365,135
ANTI135,345,120
ANTI136,365,145
ANTI137,317,101
ANTI138,385,166
ANTI139,366,136
ANTI140,213,81
ANTI141,382,132
ANTI142,271,82
ANTI143,459,139
ANTI144,223,97
ANTI145,259,102
ANTI146,310,116
ANTI147,381,140
ANTI148,251,103
ANTI149,168,86
ANTI150,254,120
ANTI151,153,65
ANTI152,234,92
ANTI801,1,2
ANTI802,6,2
AYER101,172,83
BAPO101,401,135
BAPO102,117,39
BAPO103,343,104
BAPO104,241,106
BAPO105,266,96
BAPO106,279,93
BAPO107,360,131
BAPO108,207,58
BAPO109,249,113
BAPO801,0,0
BAPO802,2,1
BETH101,410,275
BETH801,0,0
BKDI801,5,1
BKDI802,99,56
BKDI803,1,0
BKDI804,2,0
BKHW101,447,207
BKHW102,418,188
BKHW103,307,122
BKHW104,423,103
BKHW105,280,122
BKHW106,395,134
BKHW107,433,140
BKHW108,384,99
BREN101,425,176
BREN102,323,113
BREN103,378,207
BREN104,328,165
BREN105,151,93
BREN106,174,62
BREN107,407,168
BREN108,461,168
BREN109,384,194
BREN110,352,153
BREN111,565,258
BREN112,351,120
BREN113,275,144
BREN114,223,86
BREN115,245,121
BREN116,549,245
BREN117,167,85
BREN118,331,172
BREN119,370,152
BREN120,247,141
BREN121,217,108
