Precinct,Yes,No
ALHA101,229,263
ALHA801,11,15
ALHA802,20,32
ALHA803,3,10
ALHA804,49,76
ALHA805,21,31
ALHA806,1,1
ALMO101,263,323
ALMO102,435,751
ALMO103,340,437
ALMO104,371,472
ALMO105,219,265
ALMO106,328,424
ALMO107,203,391
ALMO108,214,384
ALMO109,342,413
ALMO110,372,429
ALMO111,331,449
ALMO112,252,256
ANTI101,95,112
ANTI102,234,330
ANTI103,198,304
ANTI104,249,427
ANTI105,215,347
ANTI106,224,303
ANTI107,198,367
ANTI108,389,467
ANTI109,295,455
ANTI110,256,370
ANTI111,326,464
ANTI112,169,255
ANTI113,131,217
ANTI114,165,350
ANTI115,269,337
ANTI116,168,210
ANTI117,298,367
ANTI118,198,259
ANTI119,265,416
ANTI120,332,466
ANTI121,209,352
ANTI122,290,494
ANTI123,296,567
ANTI124,265,523
ANTI125,250,379
ANTI126,201,240
ANTI127,300,332
ANTI128,208,319
ANTI129,160,217
ANTI130,194,277
ANTI131,298,393
ANTI132,190,305
ANTI133,267,521
ANTI134,236,397
ANTI135,188,389
ANTI136,246,395
ANTI137,215,324
ANTI138,254,426
ANTI139,252,379
ANTI140,166,201
ANTI141,235,407
ANTI142,140,296
ANTI143,266,511
ANTI144,165,241
ANTI145,146,297
ANTI146,220,330
ANTI147,234,403
ANTI148,130,294
ANTI149,108,196
ANTI150,206,282
ANTI151,91,191
ANTI152,140,275
ANTI801,1,2
ANTI802,7,5
AYER101,177,187
BAPO101,238,385
BAPO102,59,125
BAPO103,160,364
BAPO104,151,268
BAPO105,156,270
BAPO106,147,315
BAPO107,250,389
BAPO108,106,215
BAPO109,131,303
BAPO801,0,4
BAPO802,0,3
BETH101,514,433
BETH801,0,0
BKDI801,4,5
BKDI802,110,93
BKDI803,0,2
BKDI804,0,2
BKHW101,491,491
BKHW102,384,463
BKHW103,290,342
BKHW104,272,433
BKHW105,291,275
BKHW106,318,456
BKHW107,336,440
BKHW108,280,401
BREN101,338,437
BREN102,268,314
BREN103,436,401
BREN104,349,349
BREN105,159,165
BREN106,145,179
BREN107,355,429
BREN108,401,439
BREN109,428,416
BREN110,346,369
BREN111,543,565
BREN112,228,369
BREN113,284,312
BREN114,215,215
BREN115,239,274
BREN116,548,626
BREN117,175,198
BREN118,371,323
BREN119,320,413
BREN120,243,263
BREN121,208,267
BREN122,289,261
BREN123,356,329
BREN124,411,525
BREN125,80,78
BREN126,323,428
BREN127,551,782
BREN128,440,802
BREN129,185,180
BREN130,324,307
BREN131,197,237
BREN132,219,238
BREN133,248,264
BREN801,1,3
BREN802,30,37
BRHL101,195,347
BRHL102,186,364
BRHL103,245,524
BRHL801,0,0
BRVL101,167,160
BRVL801,74,89
BYRN101,185,124
BYRN801,74,43
BYRN802,27,15
BYRN803,1,1
CANY801,14,135
CASR101,121,247
CLAY101,358,501
CLAY102,456,487
CLAY103,224,347
CLAY104,339,428
CLAY105,421,593
CLAY106,354,365
CLAY107,461,612
CLYD101,138,173
CONC101,123,259
CONC102,208,386
CONC103,220,425
CONC104,241,386
CONC105,273,392
CONC106,222,365
CONC107,291,465
CONC108,213,440
CONC109,264,478
CONC110,185,437
CONC111,232,422
CONC112,269,368
CONC113,288,437
CONC114,253,387
CONC115,367,595
CONC116,215,488
CONC117,235,431
CONC118,263,609
CONC119,190,452
CONC120,256,466
CONC121,253,426
CONC122,225,371
CONC123,273,489
CONC124,323,530
CONC125,229,407
CONC126,376,547
CONC127,210,282
CONC128,318,566
CONC129,259,344
CONC130,143,248
CONC131,183,365
CONC132,177,321
CONC133,259,408
CONC134,255,409
CONC136,415,632
CONC137,192,329
CONC138,265,423
CONC139,199,375
CONC140,216,328
CONC141,197,364
CONC142,210,370
CONC143,262,628
CONC144,280,598
CONC145,213,351
CONC146,184,400
CONC147,269,375
CONC148,308,581
CONC149,243,440
CONC150,256,488
CONC151,130,252
CONC152,232,467
CONC153,220,450
CONC154,139,311
CONC155,190,359
CONC156,315,379
CONC157,208,362
CONC158,235,419
CONC159,298,496
CONC160,271,322
CONC161,266,427
CONC163,161,333
CONC164,275,485
CONC165,154,295
CONC801,9,24
CONC802,3,3
CONC803,0,0
CONC804,5,15
CROC101,311,724
CROC102,147,368
CROC801,1,0
DANV101,270,310
DANV102,204,227
DANV103,276,423
DANV104,368,613
DANV105,415,549
DANV106,379,508
DANV107,402,605
DANV108,396,603
DANV109,212,371
DANV110,158,225
DANV111,181,317
DANV112,328,536
DANV113,226,396
DANV114,345,533
DANV115,326,342
DANV116,175,304
DANV117,302,473
DANV118,251,507
DANV119,460,713
DANV120,369,568
DANV121,228,301
DANV122,279,389
DANV123,288,394
DANV124,186,310
DANV125,124,244
DANV126,389,679
DANV127,263,364
DANV128,200,325
DANV129,396,529
DANV130,263,350
DBAY101,512,582
DBAY102,513,403
DBAY103,312,195
DBAY104,573,376
DBAY105,187,144
DBAY106,693,456
DBAY107,449,337
DBAY801,83,57
DIAB101,308,323
ELCR101,114,959
ELCR102,195,861
ELCR103,149,496
ELCR104,173,926
ELCR105,134,670
ELCR106,86,523
ELCR107,115,537
ELCR108,121,661
ELCR109,118,868
ELCR110,127,850
ELCR111,119,659
ELCR112,89,580
ELCR113,122,1015
ELCR114,79,541
ELCR115,95,441
ELSO101,213,525
ELSO102,215,587
ELSO103,156,379
ELSO104,209,466
ELSO105,291,578
ELSO106,190,484
ELSO107,88,256
ELSO801,0,2
ELSO802,42,105
ELSO803,7,7
ERIC101,154,802
ERIC102,148,847
ERIC103,70,302
ERIC801,5,35
FAIR801,1,0
GIAN101,174,326
GIAN102,136,275
GIAN103,245,422
GIAN104,242,534
GIAN105,130,334
HERC101,287,661
HERC102,307,700
HERC103,143,340
HERC104,245,445
HERC105,174,314
HERC106,235,423
HERC107,235,533
HERC108,210,398
HERC109,202,554
HERC110,201,361
HERC111,239,380
HERC113,243,595
HERC114,172,416
KENS101,84,502
KENS102,80,655
KENS103,105,996
KENS104,90,819
KENS801,0,1
KENS802,0,1
KNGT101,379,223
KNGT801,15,18
KNGT802,5,2
KNGT803,37,35
KNGT804,28,38
LAST801,32,14
LFET101,295,671
LFET102,264,494
LFET103,202,514
LFET104,220,586
LFET105,201,519
LFET106,191,473
LFET107,241,761
LFET108,254,793
LFET109,287,838
LFET110,166,445
LFET111,196,562
LFET112,96,245
LFET113,219,571
LFET114,198,540
LFET115,213,470
LFET116,321,673
LFET117,307,790
MARC801,83,75
MARC802,11,10
MARC803,13,7
MART101,110,350
MART103,91,219
MART104,262,549
MART106,106,261
MART107,303,436
MART108,289,475
MART109,225,474
MART110,178,304
MART111,407,627
MART112,192,421
MART114,158,297
MART115,225,379
MART116,135,245
MART117,182,296
MART118,236,380
MART120,270,517
MART125,156,354
MART126 0,127,228
MART801,0,1
MART802,53,116
MART803,23,30
MART804,38,101
MART805,36,78
MART806 0,28,65
MART807 0,14,46
MART808 0,29,102
MART809 0,3,4
MART810 0,27,64
MART811 0,30,76
MART812 0,4,20
MART813 0,31,85
MART814 0,2,4
MART815 0,38,52
MART816 0,7,24
MART817 0,6,28
MART818 0,57,88
MART819 0,10,16
MART820 0,32,54
MART821 0,60,79
MART822 0,55,104
MART823 0,8,14
MART824 0,7,13
MART825 0,9,10
MART826 0,64,71
MART827 0,0,0
MART828 0,10,17
MART829 0,0,4
MART830 0,38,112
MART831 0,63,172
MART832 0,66,170
MART833 0,41,155
MART834 0,117,180
MART835 0,67,159
MART836 0,72,160
MART837 0,33,83
MART838 0,28,46
MART839 0,75,151
MART840 0,53,145
MART841 0,65,192
MART842 0,92,148
MART843 0,79,129
MART844 0,94,157
MART845 0,0,10
MART846 0,120,229
MART847 0,102,210
MART848 0,50,83
MART849 0,76,130
MART850 0,90,234
MDIA101,123,209
MDIA801,2,4
MDIA802,0,4
MORG101,359,871
MORG102,219,539
MORG103,306,729
MORG104,342,810
MORG105,330,739
MORG106,318,728
MORG107,379,842
MORG108,248,580
MVIE101,154,253
MVIE102,166,319
MVIE801 0,0,0
MVIE802 0,3,4
NCYN101,193,248
NICH801,0,6
NRIC101,174,375
NRTV801,5,2
NRTV802,9,1
OKLY101,279,298
OKLY102,279,365
OKLY103,338,353
OKLY104,395,577
OKLY105,310,330
OKLY106,445,348
OKLY107,167,246
OKLY108,242,257
OKLY109,206,259
OKLY110,322,333
OKLY111,256,238
OKLY112,241,244
OKLY113,437,529
OKLY114,387,383
OKLY115,333,286
OKLY116,366,441
OKLY117,251,263
OKLY118,173,181
OKLY119,190,222
OKLY801,2,1
OLEU801,5,3
OLEU802,7,7
ORDA101,322,971
ORDA102,152,428
ORDA103,243,586
ORDA104,137,360
ORDA105,258,721
ORDA106,292,814
ORDA107,243,869
ORDA108,279,798
ORDA109,191,522
ORDA110,106,281
ORDA111,241,888
ORDA112,235,590
ORDA113,71,285
ORDA801,0,3
PACH101,355,557
PACH102,185,321
PACH801,3,0
PACH802,37,52
PACH803,2,0
PINL102,199,395
PINL103,200,431
PINL104,164,347
PINL105,232,484
PINL106,170,388
PINL107,149,355
PINL108,211,527
PINL109,153,329
PINL110,294,538
PINL111,257,515
PINL112,321,522
PINL801,8,8
PINL802,54,115
PINL803,16,41
PLHL101,226,471
PLHL102,168,403
PLHL103,195,399
PLHL104,371,753
PLHL105,204,482
PLHL106,294,666
PLHL107,303,612
PLHL108,305,662
PLHL109,239,612
PLHL110,270,533
PLHL111,295,549
PLHL112,178,451
PLHL113,252,604
PLHL114,291,676
PLHL115,278,656
PLHL116,220,472
PLHL117,223,515
PLHL118,209,464
PLHL119,230,468
PRCO801,34,82
PTTS101,238,470
PTTS102,206,331
PTTS103,194,317
PTTS104,202,414
PTTS105,105,176
PTTS106,205,366
PTTS107,245,426
PTTS108,181,426
PTTS109,170,333
PTTS110,177,348
PTTS111,223,326
PTTS112,199,301
PTTS113,156,288
PTTS114,212,404
PTTS115,233,424
PTTS116,157,293
PTTS117,183,253
PTTS118,186,337
PTTS119,169,291
PTTS120,168,248
PTTS121,153,248
PTTS122,127,271
PTTS123,100,220
PTTS124,102,243
PTTS125,182,376
PTTS126,165,306
PTTS127,130,262
PTTS128,192,404
PTTS129,263,513
PTTS130,166,277
PTTS131,169,347
PTTS132,260,436
PTTS133,149,302
PTTS134,169,294
PTTS135,129,279
PTTS801,1,3
PTTS802,0,0
RICH101,142,690
RICH102,91,416
RICH103,142,550
RICH104,166,797
RICH105,172,910
RICH106,166,609
RICH107,55,134
RICH108,127,614
RICH109,75,282
RICH110,108,379
RICH111,74,273
RICH112,120,387
RICH113,143,526
RICH114,157,429
RICH115,156,372
RICH116,73,208
RICH117,144,328
RICH118,105,448
RICH119,108,304
RICH120,100,258
RICH121,39,149
RICH122,209,656
RICH123,145,740
RICH124,103,424
RICH125,134,446
RICH126,126,404
RICH127,129,370
RICH128,118,500
RICH129,95,312
RICH130,125,318
RICH131,142,342
RICH132,182,416
RICH133,128,401
RICH134,125,279
RICH135,114,354
RICH136,99,305
RICH137,171,432
RICH138,137,318
RICH139,240,707
RICH140,120,269
RICH141,169,432
RICH142,264,727
RICH143,194,725
RICH144,131,659
RICH145,127,841
RICH146,60,131
RICH147,104,306
RICH148,45,83
RICH149,73,209
RICH150,74,252
RICH151,117,288
RICH152,88,287
RICH153,84,253
RICH154,113,371
RICH155,123,357
RICH156,145,278
RICH801,6,18
RICH802,10,26
RICH803,38,125
RICH804,42,89
RICH805,2,80
RICH806,29,98
RICH807,0,0
RODO101,229,373
RODO102,263,449
RODO103,276,511
RODO104,215,426
ROLL101,231,419
SARA101,125,358
SARA102,216,662
SARA103,218,668
SARA105,163,360
SARA106,195,457
SARA801,2,0
SARA802,52,116
SHEL101,63,100
SHEL102,113,256
SPAB101,232,605
SPAB102,115,241
SPAB103,128,301
SPAB104,143,386
SPAB105,98,300
SPAB106,217,561
SPAB107,180,435
SPAB108,147,358
SPAB109,145,297
SPAB110,188,410
SRAM101,237,399
SRAM102,292,517
SRAM103,316,470
SRAM104,308,460
SRAM105,227,366
SRAM106,311,478
SRAM107,317,472
SRAM108,304,502
SRAM109,244,515
SRAM110,292,452
SRAM111,363,649
SRAM112,379,481
SRAM113,324,407
SRAM114,245,315
SRAM115,351,526
SRAM116,298,403
SRAM117,385,662
SRAM118,224,365
SRAM119,189,362
SRAM120,333,467
SRAM121,179,231
SRAM122,241,410
SRAM123,253,563
SRAM124,153,272
SRAM125,232,416
SRAM126,233,388
SRAM127,107,194
SRAM128,310,571
SRAM129,184,339
SRAM130,232,339
SRAM131,174,334
SRAM132,244,417
SRAM133,284,510
SRAM134,231,345
SRAM135,154,330
SRAM136,198,304
SRAM137,286,420
SRAM138,179,323
SRAM139,174,291
SRAM140,172,332
SRAM141,270,339
SRAM142,154,319
SRAM801,0,0
STMY801,42,85
TASJ101,125,105
TASJ801,1,0
TASJ802,72,53
TASJ803,32,8
TASJ804,31,60
TESO801,0,0
VIER801,6,6
VINE101,287,430
VINE102,168,219
VINE801,45,60
VINE802,37,48
VINE803 0,8,15
WALD101,189,469
WALD102,297,814
WALD103,140,459
WALD801,21,64
WLCR101,354,853
WLCR102,255,685
WLCR103,446,985
WLCR104,108,211
WLCR105,288,569
WLCR106,318,848
WLCR107,88,245
WLCR108,123,343
WLCR109,115,260
WLCR110,259,596
WLCR111,305,589
WLCR112,231,482
WLCR113,229,607
WLCR114,96,219
WLCR115,172,364
WLCR116,165,324
WLCR117,359,707
WLCR118,141,259
WLCR119,296,609
WLCR120,262,726
WLCR121,241,738
WLCR122,169,443
WLCR123,218,518
WLCR124,136,390
WLCR125,265,597
WLCR126,243,712
WLCR127,237,591
WLCR129,280,729
WLCR130,196,414
WLCR131,223,446
WLCR132,298,473
WLCR133,260,594
WLCR134,274,519
WLCR135,279,697
WLCR136,93,293
WLCR137,309,753
WLCR138,267,547
WLCR139,263,539
WLCR140,290,568
WLCR141,299,617
WLCR142,269,687
WLCR143,243,505
WLCR144,210,531
WLCR801,63,131
WLCR802,0,2
WLCR803,18,40
WLCR804,59,134
WLCR805,0,0
WLKN101,303,594
WLKN102,205,428
WLKN103,152,372
WLKN801,54,95
CALD801,1,8
CONC135,338,408
