Precinct,Yes,No
ALHA101,174,312
ALHA801,12,15
ALHA802,20,30
ALHA803,3,10
ALHA804,56,61
ALHA805,16,36
ALHA806,0,1
ALMO101,210,365
ALMO102,417,783
ALMO103,297,479
ALMO104,300,547
ALMO105,154,328
ALMO106,205,552
ALMO107,252,340
ALMO108,206,395
ALMO109,247,499
ALMO110,217,593
ALMO111,259,510
ALMO112,137,372
ANTI101,78,136
ANTI102,213,358
ANTI103,218,298
ANTI104,257,430
ANTI105,254,320
ANTI106,225,317
ANTI107,226,351
ANTI108,322,551
ANTI109,331,416
ANTI110,233,395
ANTI111,318,480
ANTI112,159,266
ANTI113,152,208
ANTI114,214,306
ANTI115,247,367
ANTI116,162,223
ANTI117,261,402
ANTI118,156,306
ANTI119,290,397
ANTI120,341,474
ANTI121,257,311
ANTI122,361,429
ANTI123,412,452
ANTI124,383,429
ANTI125,250,386
ANTI126,185,260
ANTI127,271,365
ANTI128,214,317
ANTI129,149,233
ANTI130,176,300
ANTI131,268,427
ANTI132,220,284
ANTI133,362,437
ANTI134,286,362
ANTI135,251,335
ANTI136,280,366
ANTI137,241,300
ANTI138,320,370
ANTI139,282,356
ANTI140,132,237
ANTI141,292,365
ANTI142,219,224
ANTI143,355,423
ANTI144,173,240
ANTI145,196,252
ANTI146,250,307
ANTI147,274,371
ANTI148,195,237
ANTI149,137,170
ANTI150,184,311
ANTI151,133,155
ANTI152,160,261
ANTI801,2,1
ANTI802,6,6
AYER101,153,213
BAPO101,310,326
BAPO102,72,115
BAPO103,249,281
BAPO104,201,226
BAPO105,167,269
BAPO106,214,252
BAPO107,280,362
BAPO108,143,174
BAPO109,203,237
BAPO801,0,4
BAPO802,2,1
BETH101,346,608
BETH801,0,0
BKDI801,3,6
BKDI802,82,109
BKDI803,1,1
BKDI804,2,0
BKHW101,282,700
BKHW102,291,563
BKHW103,191,442
BKHW104,300,403
BKHW105,174,389
BKHW106,322,457
BKHW107,315,465
BKHW108,332,349
BREN101,358,425
BREN102,229,356
BREN103,302,541
BREN104,305,403
BREN105,129,195
BREN106,147,177
BREN107,289,488
BREN108,323,518
BREN109,312,532
BREN110,248,470
BREN111,445,673
BREN112,269,339
BREN113,229,364
BREN114,165,260
BREN115,228,290
BREN116,375,814
BREN117,154,222
BREN118,238,458
BREN119,271,469
BREN120,187,325
BREN121,145,326
BREN122,215,335
BREN123,260,428
BREN124,409,532
BREN125,58,102
BREN126,316,436
BREN127,406,943
BREN128,404,845
BREN129,151,218
BREN130,236,404
BREN131,187,251
BREN132,191,268
BREN133,170,351
BREN801,1,3
BREN802,32,34
BRHL101,192,348
BRHL102,197,356
BRHL103,283,492
BRHL801,0,0
BRVL101,123,211
BRVL801,78,87
BYRN101,120,195
BYRN801,32,82
BYRN802,16,25
BYRN803,1,1
CANY801,111,37
CASR101,111,259
CLAY101,292,572
CLAY102,331,608
CLAY103,198,379
CLAY104,284,467
CLAY105,397,624
CLAY106,250,465
CLAY107,370,697
CLYD101,136,178
CONC101,174,210
CONC102,294,307
CONC103,287,371
CONC104,243,394
CONC105,271,392
CONC106,276,319
CONC107,331,432
CONC108,324,321
CONC109,333,412
CONC110,286,353
CONC111,280,374
CONC112,259,380
CONC113,286,429
CONC114,261,379
CONC115,351,612
CONC116,361,351
CONC117,282,390
CONC118,424,456
CONC119,339,312
CONC120,317,406
CONC121,281,401
CONC122,223,374
CONC123,336,444
CONC124,386,475
CONC125,279,368
CONC126,374,551
CONC127,185,302
CONC128,351,539
CONC129,212,393
CONC130,148,240
CONC131,264,295
CONC132,201,313
CONC133,279,386
CONC134,284,380
CONC136,469,596
CONC137,234,283
CONC138,289,411
CONC139,273,304
CONC140,217,323
CONC141,217,344
CONC142,194,383
CONC143,361,522
CONC144,386,503
CONC145,252,315
CONC146,247,335
CONC147,281,375
CONC148,445,452
CONC149,274,406
CONC150,321,439
CONC151,170,213
CONC152,303,386
CONC153,276,392
CONC154,182,275
CONC155,214,329
CONC156,258,435
CONC157,239,345
CONC158,286,368
CONC159,345,451
CONC160,203,380
CONC161,283,419
CONC163,225,275
CONC164,278,484
CONC165,235,222
CONC801,10,24
CONC802,2,3
CONC803,0,0
CONC804,13,7
CROC101,499,542
CROC102,257,265
CROC801,0,1
DANV101,193,382
DANV102,156,278
DANV103,258,439
DANV104,347,636
DANV105,327,648
DANV106,341,561
DANV107,362,651
DANV108,336,656
DANV109,209,374
DANV110,123,260
DANV111,209,298
DANV112,319,550
DANV113,236,396
DANV114,318,564
DANV115,232,439
DANV116,211,267
DANV117,312,460
DANV118,286,471
DANV119,411,769
DANV120,349,580
DANV121,184,345
DANV122,242,429
DANV123,262,429
DANV124,190,306
DANV125,119,248
DANV126,409,663
DANV127,257,367
DANV128,187,349
DANV129,343,591
DANV130,213,399
DBAY101,446,656
DBAY102,311,610
DBAY103,176,337
DBAY104,316,639
DBAY105,114,225
DBAY106,353,798
DBAY107,265,524
DBAY801,44,96
DIAB101,193,445
ELCR101,592,475
ELCR102,542,513
ELCR103,406,237
ELCR104,595,486
ELCR105,397,400
ELCR106,350,258
ELCR107,356,286
ELCR108,412,369
ELCR109,519,457
ELCR110,580,388
ELCR111,458,312
ELCR112,407,256
ELCR113,608,502
ELCR114,335,284
ELCR115,329,204
ELSO101,368,372
ELSO102,441,364
ELSO103,251,287
ELSO104,331,341
ELSO105,399,474
ELSO106,338,336
ELSO107,178,168
ELSO801,2,0
ELSO802,58,86
ELSO803,6,8
ERIC101,570,388
ERIC102,584,422
ERIC103,227,150
ERIC801,29,12
FAIR801,1,0
GIAN101,218,294
GIAN102,190,227
GIAN103,276,397
GIAN104,345,436
GIAN105,212,260
HERC101,435,526
HERC102,498,514
HERC103,249,239
HERC104,303,390
HERC105,193,299
HERC106,280,381
HERC107,357,411
