Precinct,Yes,No
ALHA101,211,98
ALHA801,13,6
ALHA802,18,10
ALHA803,4,7
ALHA804,56,29
ALHA805,18,10
ALHA806,0,0
ALMO101,265,93
ALMO102,562,203
ALMO103,375,127
ALMO104,396,130
ALMO105,223,66
ALMO106,349,114
ALMO107,253,81
ALMO108,296,100
ALMO109,360,109
ALMO110,407,91
ALMO111,355,152
ALMO112,249,73
ANTI101,114,59
ANTI102,302,151
ANTI103,231,155
ANTI104,317,198
ANTI105,297,162
ANTI106,263,118
ANTI107,289,146
ANTI108,422,197
ANTI109,380,153
ANTI110,317,164
ANTI111,387,188
ANTI112,206,123
ANTI113,180,95
ANTI114,224,156
ANTI115,299,188
ANTI116,172,131
ANTI117,305,181
ANTI118,211,134
ANTI119,340,197
ANTI120,381,204
ANTI121,276,144
ANTI122,409,187
ANTI123,455,212
ANTI124,407,191
ANTI125,295,189
ANTI126,192,129
ANTI127,316,169
ANTI128,242,155
ANTI129,172,114
ANTI130,214,132
ANTI131,336,190
ANTI132,223,147
ANTI133,413,210
ANTI134,281,203
ANTI135,277,170
ANTI136,315,188
ANTI137,249,167
ANTI138,325,198
ANTI139,316,182
ANTI140,172,101
ANTI141,314,179
ANTI142,213,125
ANTI143,374,200
ANTI144,194,120
ANTI145,217,131
ANTI146,273,140
ANTI147,312,190
ANTI148,212,130
ANTI149,142,105
ANTI150,232,127
ANTI151,133,71
ANTI152,204,110
ANTI801,1,2
ANTI802,8,1
AYER101,168,86
BAPO101,339,188
BAPO102,100,57
BAPO103,270,165
BAPO104,219,124
BAPO105,207,146
BAPO106,227,127
BAPO107,292,179
BAPO108,169,86
BAPO109,218,136
BAPO801,0,0
BAPO802,0,3
BETH101,427,239
BETH801,0,0
BKDI801,6,0
BKDI802,87,62
BKDI803,1,0
BKDI804,1,0
BKHW101,482,139
BKHW102,434,140
BKHW103,284,122
BKHW104,363,140
BKHW105,272,107
BKHW106,367,135
BKHW107,393,141
BKHW108,346,129
BREN101,406,173
BREN102,279,138
BREN103,367,195
BREN104,307,168
BREN105,157,88
BREN106,172,61
BREN107,382,186
BREN108,407,193
BREN109,365,192
BREN110,337,151
BREN111,514,266
BREN112,335,131
BREN113,253,149
BREN114,198,94
BREN115,222,127
BREN116,576,191
BREN117,163,76
BREN118,305,184
BREN119,356,155
BREN120,219,151
BREN121,238,82
BREN122,221,139
BREN123,328,144
BREN124,461,223
BREN125,71,38
BREN126,385,133
BREN127,704,188
BREN128,603,171
BREN129,164,76
BREN130,297,168
BREN131,191,106
BREN132,244,91
BREN133,271,106
BREN801,0,4
BREN802,34,16
BRHL101,280,90
BRHL102,271,81
BRHL103,374,142
BRHL801,0,0
BRVL101,145,68
BRVL801,79,31
BYRN101,150,70
BYRN801,49,33
BYRN802,16,9
BYRN803,1,0
CANY801,51,66
CASR101,183,52
CLAY101,424,153
CLAY102,441,172
CLAY103,270,103
CLAY104,328,134
CLAY105,482,175
CLAY106,327,125
CLAY107,497,218
CLYD101,143,82
CONC101,182,104
CONC102,279,153
CONC103,318,154
CONC104,296,137
CONC105,326,158
CONC106,288,126
CONC107,394,165
CONC108,288,156
CONC109,325,176
CONC110,286,147
CONC111,291,172
CONC112,283,150
CONC113,340,160
CONC114,294,152
CONC115,455,209
CONC116,375,169
CONC117,332,174
CONC118,445,240
CONC119,296,186
CONC120,337,187
CONC121,339,134
CONC122,262,124
CONC123,380,161
CONC124,410,175
CONC125,270,171
CONC126,427,214
CONC127,233,81
