Precinct,Yes,No
ALHA101,290,187
ALHA801,14,10
ALHA802,33,16
ALHA803,10,3
ALHA804,58,60
ALHA805,28,22
ALHA806,0,1
ALMO101,373,198
ALMO102,720,437
ALMO103,506,262
ALMO104,541,282
ALMO105,320,156
ALMO106,474,274
ALMO107,344,242
ALMO108,380,204
ALMO109,490,243
ALMO110,570,227
ALMO111,541,231
ALMO112,339,158
ANTI101,111,98
ANTI102,323,234
ANTI103,281,206
ANTI104,404,264
ANTI105,311,251
ANTI106,291,230
ANTI107,288,273
ANTI108,522,335
ANTI109,425,315
ANTI110,368,245
ANTI111,458,316
ANTI112,236,176
ANTI113,215,136
ANTI114,286,216
ANTI115,345,257
ANTI116,215,158
ANTI117,373,268
ANTI118,258,198
ANTI119,392,279
ANTI120,455,338
ANTI121,296,251
ANTI122,456,320
ANTI123,452,400
ANTI124,434,355
ANTI125,343,281
ANTI126,242,187
ANTI127,368,250
ANTI128,294,224
ANTI129,206,161
ANTI130,260,215
ANTI131,389,298
ANTI132,283,204
ANTI133,415,374
ANTI134,324,300
ANTI135,318,250
ANTI136,350,283
ANTI137,286,246
ANTI138,357,313
ANTI139,333,291
ANTI140,195,164
ANTI141,338,300
ANTI142,213,217
ANTI143,423,336
ANTI144,213,188
ANTI145,226,205
ANTI146,346,192
ANTI147,353,275
ANTI148,243,169
ANTI149,179,119
ANTI150,267,216
ANTI151,143,138
ANTI152,224,187
ANTI801,0,3
ANTI802,12,0
AYER101,195,162
BAPO101,322,283
BAPO102,84,92
BAPO103,269,247
BAPO104,228,190
BAPO105,234,180
BAPO106,242,213
BAPO107,362,275
BAPO108,169,145
BAPO109,233,198
BAPO801,0,4
BAPO802,1,2
BETH101,598,333
BETH801,0,0
BKDI801,5,4
BKDI802,97,103
BKDI803,2,0
BKDI804,2,0
BKHW101,672,291
BKHW102,586,250
BKHW103,415,203
BKHW104,454,232
BKHW105,380,175
BKHW106,503,256
BKHW107,494,274
BKHW108,447,213
BREN101,412,356
BREN102,336,241
BREN103,505,321
BREN104,380,304
BREN105,178,142
BREN106,181,140
BREN107,426,353
BREN108,465,367
BREN109,451,387
BREN110,445,261
BREN111,614,472
BREN112,345,247
BREN113,335,253
BREN114,235,190
BREN115,307,203
BREN116,805,365
BREN117,200,162
BREN118,389,287
BREN119,447,279
BREN120,306,199
BREN121,323,139
BREN122,285,252
BREN123,397,285
BREN124,521,405
BREN125,82,77
BREN126,437,311
BREN127,962,357
BREN128,857,366
BREN129,188,168
BREN130,371,256
BREN131,246,182
BREN132,262,194
BREN133,300,211
BREN801,2,1
BREN802,48,19
BRHL101,338,196
BRHL102,310,231
BRHL103,467,291
BRHL801,0,0
BRVL101,209,118
BRVL801,103,61
BYRN101,200,106
BYRN801,68,45
BYRN802,24,17
BYRN803,1,1
CANY801,68,78
CASR101,224,140
CLAY101,556,286
CLAY102,565,359
CLAY103,386,187
CLAY104,467,279
CLAY105,622,379
CLAY106,437,269
CLAY107,631,414
CLYD101,158,148
CONC101,195,178
CONC102,311,280
CONC103,366,266
CONC104,334,289
CONC105,357,296
CONC106,306,268
CONC107,367,382
CONC108,346,293
CONC109,365,358
CONC110,355,265
CONC111,356,281
CONC112,346,277
CONC113,400,309
CONC114,351,293
CONC115,571,381
CONC116,403,299
CONC117,369,290
CONC118,439,423
CONC119,335,302
CONC120,400,308
CONC121,384,287
CONC122,367,219
CONC123,407,353
CONC124,452,382
CONC125,314,309
CONC126,514,397
CONC127,303,177
CONC128,485,383
CONC129,357,237
CONC130,221,153
CONC131,327,208
CONC132,298,204
CONC133,362,286
CONC134,355,299
CONC136,606,437
CONC137,272,236
CONC138,392,290
CONC139,325,236
CONC140,342,187
CONC141,317,237
CONC142,372,199
CONC143,517,340
CONC144,549,322
CONC145,328,224
CONC146,312,252
CONC147,379,254
CONC148,503,375
CONC149,388,280
CONC150,413,322
CONC151,238,133
CONC152,375,301
CONC153,373,293
CONC154,263,183
CONC155,334,205
CONC156,417,258
CONC157,314,260
CONC158,363,289
CONC159,443,339
CONC160,373,217
CONC161,412,270
CONC163,275,209
CONC164,458,293
CONC165,221,223
CONC801,24,9
CONC802,5,1
CONC803,0,0
CONC804,14,6
CROC101,499,525
CROC102,251,252
CROC801,0,1
DANV101,387,176
DANV102,301,123
DANV103,421,259
DANV104,594,368
DANV105,615,324
DANV106,563,319
DANV107,619,369
DANV108,631,357
DANV109,389,183
DANV110,250,124
DANV111,319,173
DANV112,550,304
DANV113,411,194
DANV114,553,311
DANV115,452,205
DANV116,322,148
DANV117,470,297
DANV118,453,284
DANV119,795,363
DANV120,552,369
DANV121,354,167
DANV122,435,229
DANV123,445,231
DANV124,311,172
DANV125,216,140
DANV126,632,425
DANV127,366,248
DANV128,350,179
DANV129,613,304
DANV130,392,204
DBAY101,645,436
DBAY102,563,346
DBAY103,325,181
DBAY104,603,325
DBAY105,198,126
DBAY106,739,379
