Precinct,Yes,No
ALHA101,118,370
ALHA801,11,16
ALHA802,11,39
ALHA803,2,11
ALHA804,36,84
ALHA805,8,44
ALHA806,0,2
ALMO101,149,433
ALMO102,287,888
ALMO103,171,600
ALMO104,162,678
ALMO105,82,396
ALMO106,150,606
ALMO107,175,411
ALMO108,147,442
ALMO109,147,601
ALMO110,163,648
ALMO111,168,611
ALMO112,94,409
ANTI101,90,120
ANTI102,227,331
ANTI103,245,257
ANTI104,298,378
ANTI105,254,312
ANTI106,225,303
ANTI107,238,334
ANTI108,320,532
ANTI109,304,444
ANTI110,235,380
ANTI111,309,471
ANTI112,175,240
ANTI113,164,191
ANTI114,246,258
ANTI115,268,334
ANTI116,171,208
ANTI117,232,414
ANTI118,167,294
ANTI119,317,362
ANTI120,344,454
ANTI121,259,299
ANTI122,345,432
ANTI123,383,467
ANTI124,396,401
ANTI125,278,351
ANTI126,182,254
ANTI127,240,388
ANTI128,247,273
ANTI129,164,202
ANTI130,180,295
ANTI131,272,416
ANTI132,224,270
ANTI133,381,401
ANTI134,329,303
ANTI135,272,300
ANTI136,288,350
ANTI137,226,308
ANTI138,316,364
ANTI139,278,356
ANTI140,145,211
ANTI141,273,368
ANTI142,224,210
ANTI143,347,423
ANTI144,172,234
ANTI145,217,218
ANTI146,260,284
ANTI147,299,338
ANTI148,226,194
ANTI149,165,135
ANTI150,181,308
ANTI151,153,129
ANTI152,195,220
ANTI801,2,1
ANTI802,6,4
AYER101,100,257
BAPO101,316,294
BAPO102,96,83
BAPO103,290,228
BAPO104,234,186
BAPO105,200,221
BAPO106,206,254
BAPO107,271,368
BAPO108,151,163
BAPO109,248,183
BAPO801,0,4
BAPO802,2,1
BETH101,258,678
BETH801,0,0
BKDI801,1,8
BKDI802,56,144
BKDI803,1,1
BKDI804,1,1
BKHW101,174,798
BKHW102,195,653
BKHW103,124,503
BKHW104,206,491
BKHW105,87,466
BKHW106,209,552
BKHW107,203,573
BKHW108,214,459
BREN101,307,462
BREN102,206,377
BREN103,261,575
BREN104,227,470
BREN105,129,192
BREN106,126,196
BREN107,300,481
BREN108,327,510
BREN109,241,591
BREN110,207,501
BREN111,389,701
BREN112,234,351
BREN113,200,380
BREN114,153,271
BREN115,176,336
BREN116,322,856
BREN117,126,243
BREN118,230,452
BREN119,241,487
BREN120,189,307
BREN121,111,351
BREN122,164,381
BREN123,214,469
BREN124,354,575
BREN125,45,113
BREN126,258,493
BREN127,348,984
BREN128,334,895
BREN129,120,247
BREN130,224,410
BREN131,164,267
BREN132,162,294
BREN133,163,353
BREN801,0,3
BREN802,32,35
BRHL101,150,390
BRHL102,149,390
BRHL103,251,517
BRHL801,0,0
BRVL101,76,255
BRVL801,37,128
BYRN101,80,230
BYRN801,21,93
BYRN802,8,33
BYRN803,0,2
CANY801,107,40
CASR101,89,277
CLAY101,284,563
CLAY102,266,660
CLAY103,151,421
CLAY104,220,528
CLAY105,298,697
CLAY106,173,534
CLAY107,353,692
CLYD101,113,196
CONC101,195,184
CONC102,326,267
CONC103,287,355
CONC104,253,370
CONC105,274,390
CONC106,290,294
CONC107,332,428
CONC108,305,338
CONC109,301,431
CONC110,323,296
CONC111,288,356
CONC112,252,384
CONC113,328,386
CONC114,249,399
CONC115,394,563
CONC116,448,263
CONC117,352,308
CONC118,533,335
CONC119,344,296
CONC120,344,365
CONC121,258,417
CONC122,219,373
CONC123,365,396
CONC124,329,521
CONC125,290,345
CONC126,345,571
CONC127,148,339
CONC128,317,555
CONC129,227,377
CONC130,168,211
CONC131,271,268
CONC132,170,331
CONC133,258,392
CONC134,278,376
CONC136,455,588
CONC137,248,265
CONC138,294,393
CONC139,288,278
CONC140,191,349
CONC141,193,360
CONC142,181,388
CONC143,336,529
CONC144,338,534
CONC145,300,256
CONC146,290,286
CONC147,300,348
CONC148,414,472
CONC149,267,410
CONC150,290,459
CONC151,144,233
CONC152,290,400
CONC153,251,411
CONC154,178,266
CONC155,203,333
CONC156,237,442
