Precinct,Yes,No
ALHA101,241,93
ALHA801,13,6
ALHA802,29,5
ALHA803,6,5
ALHA804,62,29
ALHA805,21,11
ALHA806,0,0
ALMO101,278,113
ALMO102,628,198
ALMO103,415,137
ALMO104,449,146
ALMO105,249,69
ALMO106,373,124
ALMO107,278,95
ALMO108,309,115
ALMO109,374,125
ALMO110,438,122
ALMO111,395,154
ALMO112,266,87
ANTI101,127,52
ANTI102,319,150
ANTI103,266,142
ANTI104,356,178
ANTI105,323,148
ANTI106,279,126
ANTI107,314,143
ANTI108,471,187
ANTI109,425,153
ANTI110,357,149
ANTI111,415,191
ANTI112,219,120
ANTI113,197,97
ANTI114,245,157
ANTI115,336,176
ANTI116,204,109
ANTI117,328,187
ANTI118,250,115
ANTI119,382,187
ANTI120,412,211
ANTI121,277,156
ANTI122,425,197
ANTI123,486,205
ANTI124,427,209
ANTI125,342,163
ANTI126,221,113
ANTI127,336,170
ANTI128,290,133
ANTI129,204,95
ANTI130,241,126
ANTI131,399,150
ANTI132,251,136
ANTI133,427,219
ANTI134,329,175
ANTI135,313,155
ANTI136,336,181
ANTI137,286,146
ANTI138,366,186
ANTI139,363,154
ANTI140,194,103
ANTI141,372,161
ANTI142,230,127
ANTI143,424,178
ANTI144,214,111
ANTI145,239,133
ANTI146,312,123
ANTI147,337,189
ANTI148,247,111
ANTI149,161,95
ANTI150,253,124
ANTI151,152,69
ANTI152,227,98
ANTI801,3,0
ANTI802,11,0
AYER101,183,79
BAPO101,374,174
BAPO102,107,54
BAPO103,315,141
BAPO104,251,103
BAPO105,236,133
BAPO106,254,119
BAPO107,328,165
BAPO108,172,97
BAPO109,235,133
BAPO801,0,0
BAPO802,0,3
BETH101,490,214
BETH801,0,0
BKDI801,6,1
BKDI802,104,48
BKDI803,1,0
BKDI804,2,0
BKHW101,535,162
BKHW102,490,146
BKHW103,320,121
BKHW104,400,137
BKHW105,316,100
BKHW106,401,143
BKHW107,440,144
BKHW108,368,128
BREN101,436,178
BREN102,322,117
BREN103,417,179
BREN104,345,155
BREN105,154,97
BREN106,173,68
BREN107,393,207
BREN108,473,162
BREN109,405,185
BREN110,367,146
BREN111,585,250
BREN112,361,124
BREN113,283,141
BREN114,224,92
BREN115,249,123
BREN116,622,197
BREN117,172,87
BREN118,345,173
BREN119,387,149
BREN120,253,139
BREN121,258,82
BREN122,255,116
BREN123,339,157
BREN124,488,243
BREN125,76,38
BREN126,423,125
BREN127,772,182
BREN128,670,163
BREN129,192,68
BREN130,315,168
BREN131,214,104
BREN132,262,86
BREN133,299,99
BREN801,2,2
BREN802,33,18
BRHL101,294,100
BRHL102,315,68
BRHL103,419,133
BRHL801,0,0
BRVL101,168,65
BRVL801,80,37
BYRN101,153,76
BYRN801,51,37
BYRN802,23,4
BYRN803,1,0
CANY801,45,79
CASR101,198,56
CLAY101,448,167
CLAY102,492,149
CLAY103,302,98
CLAY104,343,149
CLAY105,540,163
CLAY106,347,130
CLAY107,542,224
CLYD101,162,81
CONC101,197,101
CONC102,295,165
CONC103,357,150
CONC104,316,152
CONC105,354,151
CONC106,305,132
CONC107,409,193
CONC108,321,172
CONC109,366,177
CONC110,335,138
CONC111,340,152
CONC112,315,151
CONC113,360,181
CONC114,336,134
CONC115,515,184
CONC116,391,183
CONC117,348,186
CONC118,469,253
CONC119,293,212
CONC120,376,181
CONC121,352,145
CONC122,294,125
CONC123,411,169
CONC124,420,202
CONC125,310,164
CONC126,483,203
CONC127,237,90
CONC128,468,158
CONC129,323,114
CONC130,209,71
CONC131,300,94
CONC132,287,72
CONC133,316,174
CONC134,346,152
CONC136,553,226
CONC137,245,136
CONC138,369,120
CONC139,330,125
CONC140,291,97
CONC141,277,129
CONC142,313,116
CONC143,497,159
CONC144,534,143
CONC145,327,140
CONC146,298,153
CONC147,364,146
CONC148,473,215
CONC149,357,143
CONC150,385,178
CONC151,180,86
CONC152,347,140
CONC153,341,131
CONC154,250,89
CONC155,287,105
CONC156,362,138
CONC157,275,147
CONC158,329,162
CONC159,407,167
CONC160,290,109
CONC161,369,134
CONC163,264,132
CONC164,396,150
CONC165,246,125
CONC801,15,2
CONC802,4,2
CONC803,0,0
CONC804,12,5
CROC101,467,289
CROC102,281,114
CROC801,0,0
DANV101,277,91
DANV102,222,60
DANV103,375,127
DANV104,484,168
DANV105,510,166
DANV106,459,153
DANV107,536,163
DANV108,533,152
DANV109,310,85
DANV110,189,78
DANV111,274,84
DANV112,473,146
DANV113,318,110
DANV114,472,133
DANV115,361,130
DANV116,264,90
DANV117,384,144
DANV118,407,120
DANV119,670,163
DANV120,474,160
DANV121,290,101
DANV122,366,103
DANV123,352,110
DANV124,278,81
DANV125,186,63
DANV126,576,188
DANV127,342,92
DANV128,299,75
DANV129,484,162
DANV130,373,90
DBAY101,581,254
DBAY102,491,195
DBAY103,249,84
DBAY104,476,179
DBAY105,175,75
DBAY106,608,193
DBAY107,390,162
DBAY801,73,21
DIAB101,321,96
ELCR101,484,269
ELCR102,485,242
ELCR103,288,184
ELCR104,487,298
ELCR105,376,195
ELCR106,270,161
ELCR107,266,181
ELCR108,344,193
ELCR109,435,261
ELCR110,426,257
ELCR111,327,239
ELCR112,284,186
ELCR113,474,317
ELCR114,293,165
ELCR115,219,155
ELSO101,368,172
ELSO102,384,234
