Precinct,Yes,No
ALHA101,258,217
ALHA801,16,7
ALHA802,31,20
ALHA803,8,5
ALHA804,69,53
ALHA805,22,25
ALHA806,1,1
ALMO101,325,231
ALMO102,733,438
ALMO103,463,299
ALMO104,466,366
ALMO105,246,224
ALMO106,424,323
ALMO107,359,228
ALMO108,387,201
ALMO109,416,327
ALMO110,418,370
ALMO111,445,327
ALMO112,278,224
ANTI101,141,66
ANTI102,386,166
ANTI103,381,117
ANTI104,447,218
ANTI105,402,162
ANTI106,363,169
ANTI107,382,183
ANTI108,507,339
ANTI109,472,264
ANTI110,393,222
ANTI111,484,301
ANTI112,283,131
ANTI113,252,100
ANTI114,362,141
ANTI115,419,189
ANTI116,239,132
ANTI117,370,279
ANTI118,282,170
ANTI119,495,185
ANTI120,526,265
ANTI121,401,157
ANTI122,535,240
ANTI123,628,224
ANTI124,592,204
ANTI125,418,207
ANTI126,255,177
ANTI127,405,215
ANTI128,353,165
ANTI129,243,124
ANTI130,306,157
ANTI131,447,243
ANTI132,365,133
ANTI133,577,214
ANTI134,477,153
ANTI135,403,173
ANTI136,404,223
ANTI137,363,180
ANTI138,465,207
ANTI139,428,198
ANTI140,247,117
ANTI141,462,186
ANTI142,310,126
ANTI143,580,184
ANTI144,275,129
ANTI145,319,115
ANTI146,373,175
ANTI147,440,201
ANTI148,345,78
ANTI149,219,75
ANTI150,308,179
ANTI151,206,74
ANTI152,300,116
ANTI801,3,0
ANTI802,10,2
AYER101,182,171
BAPO101,469,141
BAPO102,134,40
BAPO103,399,116
BAPO104,324,84
BAPO105,332,96
BAPO106,310,143
BAPO107,410,217
BAPO108,235,79
BAPO109,310,117
BAPO801,4,0
BAPO802,3,0
BETH101,504,429
BETH801,0,0
BKDI801,1,8
BKDI802,96,105
BKDI803,2,0
BKDI804,2,0
BKHW101,545,417
BKHW102,466,367
BKHW103,342,277
BKHW104,450,244
BKHW105,274,274
BKHW106,428,337
BKHW107,468,295
BKHW108,374,286
BREN101,458,300
BREN102,376,205
BREN103,455,374
BREN104,418,277
BREN105,186,134
BREN106,189,127
BREN107,453,316
BREN108,534,301
BREN109,456,385
BREN110,406,307
BREN111,662,437
BREN112,380,213
BREN113,334,252
BREN114,251,178
BREN115,298,208
BREN116,669,497
BREN117,205,162
BREN118,358,328
BREN119,402,328
BREN120,308,195
BREN121,259,198
BREN122,284,261
BREN123,343,328
BREN124,536,390
BREN125,83,72
BREN126,449,290
BREN127,760,561
BREN128,735,503
BREN129,214,148
BREN130,348,281
BREN131,263,164
BREN132,264,190
BREN133,259,251
BREN801,2,1
BREN802,34,30
BRHL101,286,245
BRHL102,359,180
BRHL103,496,257
BRHL801,0,0
BRVL101,165,159
BRVL801,86,72
BYRN101,151,150
BYRN801,49,64
BYRN802,16,25
BYRN803,2,0
CANY801,129,18
CASR101,220,145
CLAY101,494,355
CLAY102,495,423
CLAY103,353,208
CLAY104,408,341
CLAY105,555,439
CLAY106,349,352
CLAY107,607,437
CLYD101,181,125
CONC101,254,115
CONC102,430,148
CONC103,443,197
CONC104,393,224
CONC105,417,237
CONC106,431,148
CONC107,490,259
CONC108,441,204
CONC109,482,248
CONC110,462,157
CONC111,413,231
CONC112,392,237
CONC113,464,242
CONC114,389,242
CONC115,577,353
CONC116,537,158
CONC117,459,195
CONC118,676,185
CONC119,479,166
CONC120,485,228
CONC121,427,247
CONC122,357,220
CONC123,537,223
CONC124,524,328
CONC125,418,214
CONC126,553,350
CONC127,273,201
CONC128,538,334
CONC129,353,238
CONC130,261,122
CONC131,380,155
CONC132,296,202
CONC133,388,261
CONC134,427,222
CONC136,663,373
CONC137,350,161
CONC138,412,265
CONC139,378,192
CONC140,314,215
CONC141,353,198
CONC142,366,202
CONC143,564,305
CONC144,545,319
CONC145,416,139
CONC146,414,152
CONC147,427,210
CONC148,601,286
CONC149,415,255
CONC150,479,262
CONC151,245,126
CONC152,423,249
CONC153,434,224
CONC154,275,164
CONC155,328,207
CONC156,397,292
CONC157,373,202
CONC158,442,207
CONC159,504,266
CONC160,328,256
CONC161,417,266
CONC163,332,158
CONC164,471,265
CONC165,318,123
CONC801,19,12
CONC802,3,2
CONC803,0,0
CONC804,8,12
CROC101,740,291
CROC102,361,142
CROC801,1,0
DANV101,283,276
DANV102,225,199
DANV103,413,274
DANV104,572,392
DANV105,592,371
DANV106,538,343
DANV107,644,356
DANV108,615,371
DANV109,353,222
DANV110,219,153
DANV111,316,182
DANV112,516,340
DANV113,385,232
DANV114,530,338
DANV115,376,274
DANV116,288,181
DANV117,469,295
DANV118,463,278
DANV119,693,450
DANV120,568,354
DANV121,278,244
DANV122,387,268
DANV123,411,267
DANV124,290,198
DANV125,229,138
DANV126,682,373
DANV127,368,238
DANV128,297,223
