Precinct,"RONALD E. ""RON"" LEONE",LAURA HOFFMEISTER,JUDI HERMAN
CONC112,274,193,134
CONC113,298,208,168
CONC114,252,219,127
CONC115,401,319,194
CONC121,206,240,175
CONC122,226,217,110
CONC123,218,288,208
CONC128,278,388,164
CONC129,185,271,106
CONC130,131,151,80
CONC131,165,215,119
CONC133,200,254,148
CONC134,201,247,162
CONC138,164,324,129
CONC139,153,211,172
CONC804,4,9,6
