Precinct,Yes,No
ALHA101,235,246
ALHA801,12,15
ALHA802,33,19
ALHA803,9,4
ALHA804,62,61
ALHA805,28,26
ALHA806,0,1
ALMO101,325,257
ALMO102,697,502
ALMO103,446,335
ALMO104,438,416
ALMO105,266,227
ALMO106,427,327
ALMO107,354,245
ALMO108,360,242
ALMO109,390,363
ALMO110,425,385
ALMO111,439,340
ALMO112,262,247
ANTI101,133,77
ANTI102,385,182
ANTI103,376,130
ANTI104,483,196
ANTI105,395,175
ANTI106,355,177
ANTI107,382,190
ANTI108,526,336
ANTI109,482,267
ANTI110,404,217
ANTI111,497,301
ANTI112,292,133
ANTI113,251,106
ANTI114,373,142
ANTI115,404,203
ANTI116,272,108
ANTI117,382,280
ANTI118,278,177
ANTI119,489,196
ANTI120,550,256
ANTI121,383,179
ANTI122,523,261
ANTI123,624,246
ANTI124,598,207
ANTI125,424,205
ANTI126,292,144
ANTI127,424,206
ANTI128,369,160
ANTI129,240,133
ANTI130,303,170
ANTI131,438,258
ANTI132,360,142
ANTI133,566,228
ANTI134,478,164
ANTI135,414,170
ANTI136,443,202
ANTI137,358,186
ANTI138,497,191
ANTI139,429,201
ANTI140,228,140
ANTI141,486,168
ANTI142,302,139
ANTI143,581,192
ANTI144,258,143
ANTI145,348,97
ANTI146,379,176
ANTI147,448,201
ANTI148,339,84
ANTI149,233,71
ANTI150,314,173
ANTI151,210,76
ANTI152,315,109
ANTI801,3,0
ANTI802,8,4
AYER101,200,167
BAPO101,466,163
BAPO102,138,49
BAPO103,411,114
BAPO104,346,78
BAPO105,338,96
BAPO106,303,160
BAPO107,428,211
BAPO108,234,89
BAPO109,328,103
BAPO801,4,0
BAPO802,3,0
BETH101,523,427
BETH801,0,0
BKDI801,4,5
BKDI802,95,107
BKDI803,0,2
BKDI804,2,0
BKHW101,556,433
BKHW102,481,384
BKHW103,332,306
BKHW104,480,230
BKHW105,297,278
BKHW106,427,351
BKHW107,480,306
BKHW108,408,273
BREN101,492,274
BREN102,397,188
BREN103,461,374
BREN104,427,274
BREN105,205,114
BREN106,207,116
BREN107,517,268
BREN108,563,281
BREN109,485,360
BREN110,424,287
BREN111,694,413
BREN112,416,185
BREN113,348,241
BREN114,260,172
BREN115,322,192
BREN116,711,461
BREN117,216,155
BREN118,396,293
BREN119,434,298
BREN120,310,199
BREN121,249,217
BREN122,328,225
BREN123,375,306
BREN124,584,352
BREN125,89,70
BREN126,507,247
BREN127,789,546
BREN128,722,528
BREN129,210,153
BREN130,369,267
BREN131,276,154
BREN132,283,178
BREN133,288,231
BREN801,3,1
BREN802,41,27
BRHL101,290,251
BRHL102,325,226
BRHL103,480,281
BRHL801,0,0
BRVL101,161,167
BRVL801,85,76
BYRN101,172,144
BYRN801,41,75
BYRN802,24,18
BYRN803,2,0
CANY801,110,38
CASR101,218,154
CLAY101,517,339
CLAY102,525,427
CLAY103,357,226
CLAY104,432,330
CLAY105,618,404
CLAY106,388,325
CLAY107,606,462
CLYD101,177,131
CONC101,262,116
CONC102,433,169
CONC103,440,208
CONC104,390,244
CONC105,423,242
CONC106,416,179
CONC107,490,273
CONC108,442,205
CONC109,470,273
CONC110,449,183
CONC111,414,239
CONC112,411,228
CONC113,476,247
CONC114,401,247
CONC115,601,359
CONC116,549,165
CONC117,454,219
CONC118,686,189
CONC119,443,203
CONC120,498,229
CONC121,430,251
CONC122,359,236
CONC123,530,239
CONC124,527,335
CONC125,419,228
CONC126,530,390
CONC127,270,216
CONC128,536,340
CONC129,366,237
CONC130,249,135
CONC131,369,181
CONC132,301,207
CONC133,419,245
CONC134,405,253
CONC136,665,391
CONC137,366,150
CONC138,427,273
CONC139,397,177
CONC140,325,210
CONC141,342,219
CONC142,332,246
CONC143,600,298
CONC144,577,307
CONC145,430,142
CONC146,432,157
CONC147,397,250
CONC148,561,338
CONC149,422,258
CONC150,451,303
CONC151,232,148
CONC152,434,253
CONC153,425,249
CONC154,276,175
CONC155,351,199
CONC156,420,270
CONC157,382,198
CONC158,446,207
CONC159,508,282
CONC160,314,276
CONC161,419,273
CONC163,348,147
CONC164,478,280
CONC165,338,119
CONC801,21,13
CONC802,3,3
CONC803,0,0
CONC804,12,8
CROC101,700,343
CROC102,355,166
CROC801,1,0
DANV101,298,278
DANV102,227,202
DANV103,442,260
DANV104,607,368
DANV105,587,393
DANV106,522,371
DANV107,632,383
DANV108,611,404
DANV109,370,212
DANV110,232,153
DANV111,329,175
DANV112,531,343
DANV113,388,239
DANV114,526,362
DANV115,402,270
DANV116,335,145
DANV117,463,318
DANV118,467,290
DANV119,698,473
DANV120,575,371
DANV121,300,232
DANV122,377,297
DANV123,412,274
DANV124,306,192
