Precinct,Yes,No
CANY801,3,0
ELCR101,938,136
ELCR102,866,185
ELCR103,521,113
ELCR104,902,178
ELCR105,684,113
ELCR106,525,77
ELCR107,548,110
ELCR108,676,104
ELCR109,866,106
ELCR110,851,123
ELCR111,659,99
ELCR112,575,86
ELCR113,994,134
ELCR114,542,69
ELCR115,462,63
ELSO101,560,175
ELSO102,649,154
ELSO104,526,143
ELSO105,647,209
ELSO106,531,132
ELSO107,272,69
ELSO802,117,28
ELSO803,6,8
ERIC101,836,131
ERIC102,854,143
ERIC103,308,61
ERIC801,38,5
GIAN101,366,130
GIAN102,302,112
GIAN103,481,188
GIAN104,599,164
GIAN105,361,104
KENS101,522,50
KENS102,681,44
KENS103,1017,71
KENS104,848,52
KENS801,0,0
KENS802,1,0
NRIC101,409,133
PINL803,32,0
RICH101,697,119
RICH102,437,65
RICH103,543,138
RICH104,812,129
RICH105,929,146
RICH106,614,143
RICH107,153,30
RICH108,628,103
RICH109,274,76
RICH110,411,75
RICH111,258,87
RICH112,379,121
RICH113,493,169
RICH114,445,133
RICH115,390,130
RICH116,213,60
RICH117,343,110
RICH118,447,105
RICH119,314,88
RICH120,243,99
RICH121,149,38
RICH122,695,157
RICH123,741,143
RICH124,447,79
RICH125,445,118
RICH126,396,127
RICH127,389,102
RICH128,495,119
RICH129,309,94
RICH130,321,106
RICH131,352,124
RICH132,430,162
RICH133,385,122
RICH134,309,89
RICH135,364,77
RICH136,311,83
RICH137,433,154
RICH138,314,134
RICH139,711,226
RICH140,316,70
RICH141,442,144
RICH142,751,225
RICH143,717,188
RICH144,673,115
RICH145,845,111
RICH146,125,56
RICH147,298,102
RICH148,90,38
RICH149,207,76
RICH150,237,85
RICH151,305,98
RICH152,281,87
RICH153,274,58
RICH154,400,75
RICH155,366,110
RICH156,289,114
RICH801,19,5
RICH802,25,8
RICH803,114,49
RICH804,98,31
RICH805,67,13
RICH806,94,28
RICH807,0,0
ROLL101,492,154
SPAB101,646,194
SPAB102,256,98
SPAB103,318,105
SPAB104,421,101
SPAB105,322,72
SPAB106,654,134
SPAB107,457,159
SPAB108,382,120
SPAB109,335,103
SPAB110,443,165
CALD801,4,2
