Precinct,Yes,No
ALHA101,219,83
ALHA801,10,8
ALHA802,26,4
ALHA803,9,2
ALHA804,60,27
ALHA805,22,9
ALHA806,0,0
ALMO101,264,95
ALMO102,613,160
ALMO103,370,133
ALMO104,402,139
ALMO105,214,80
ALMO106,323,138
ALMO107,281,65
ALMO108,311,87
ALMO109,337,127
ALMO110,367,135
ALMO111,359,149
ALMO112,225,100
ANTI101,128,50
ANTI102,324,131
ANTI103,277,113
ANTI104,361,150
ANTI105,349,112
ANTI106,277,110
ANTI107,318,118
ANTI108,435,193
ANTI109,423,122
ANTI110,365,120
ANTI111,414,162
ANTI112,236,94
ANTI113,214,67
ANTI114,283,104
ANTI115,365,123
ANTI116,210,89
ANTI117,322,167
ANTI118,253,96
ANTI119,410,127
ANTI120,447,144
ANTI121,315,98
ANTI122,464,140
ANTI123,503,163
ANTI124,482,125
ANTI125,348,141
ANTI126,234,85
ANTI127,328,148
ANTI128,285,120
ANTI129,206,79
ANTI130,252,97
ANTI131,394,135
ANTI132,279,90
ANTI133,485,137
ANTI134,371,108
ANTI135,338,110
ANTI136,359,142
ANTI137,303,112
ANTI138,376,151
ANTI139,341,149
ANTI140,198,79
ANTI141,387,112
ANTI142,276,66
ANTI143,453,121
ANTI144,211,100
ANTI145,252,100
ANTI146,302,107
ANTI147,369,139
ANTI148,256,88
ANTI149,167,81
ANTI150,259,109
ANTI151,157,50
ANTI152,241,73
ANTI801,3,0
ANTI802,6,2
AYER101,173,79
BAPO101,408,119
BAPO102,116,40
BAPO103,329,112
BAPO104,250,88
BAPO105,255,97
BAPO106,278,80
BAPO107,353,121
BAPO108,198,59
BAPO109,255,100
BAPO801,0,0
BAPO802,2,1
BETH101,422,253
BETH801,0,0
BKDI801,5,1
BKDI802,104,52
BKDI803,1,0
BKDI804,2,0
BKHW101,441,181
BKHW102,409,173
BKHW103,296,114
BKHW104,397,114
BKHW105,279,106
BKHW106,379,126
BKHW107,413,131
BKHW108,373,97
BREN101,422,166
BREN102,322,96
BREN103,385,182
BREN104,333,148
BREN105,153,91
BREN106,166,69
BREN107,390,168
BREN108,448,162
BREN109,393,169
BREN110,348,141
BREN111,562,226
BREN112,360,111
BREN113,274,128
BREN114,215,82
BREN115,248,107
BREN116,563,210
BREN117,173,69
BREN118,337,159
BREN119,364,139
BREN120,251,119
BREN121,230,87
BREN122,245,112
BREN123,318,150
BREN124,508,185
BREN125,66,40
BREN126,408,116
BREN127,725,183
BREN128,640,153
BREN129,178,62
BREN130,326,140
BREN131,204,97
BREN132,229,106
BREN133,257,118
BREN801,3,1
BREN802,39,11
BRHL101,280,88
BRHL102,296,63
BRHL103,441,80
BRHL801,0,0
BRVL101,138,79
BRVL801,79,32
BYRN101,125,95
BYRN801,43,42
BYRN802,13,10
BYRN803,1,0
CANY801,112,8
CASR101,182,51
CLAY101,442,142
CLAY102,446,166
CLAY103,298,83
CLAY104,308,156
CLAY105,497,169
CLAY106,317,135
CLAY107,521,195
CLYD101,154,71
CONC101,219,66
CONC102,339,99
CONC103,367,110
CONC104,318,117
CONC105,372,117
CONC106,334,82
CONC107,437,132
CONC108,373,87
CONC109,378,129
CONC110,355,93
CONC111,357,106
CONC112,296,140
CONC113,392,118
CONC114,307,139
CONC115,547,127
CONC116,447,97
CONC117,382,124
CONC118,548,144
CONC119,375,104
CONC120,425,105
CONC121,373,110
CONC122,302,94
CONC123,454,101
CONC124,453,137
CONC125,340,107
CONC126,474,163
CONC127,217,93
CONC128,457,125
CONC129,317,91
CONC130,208,54
CONC131,290,79
CONC132,278,66
CONC133,339,127
CONC134,355,115
CONC136,562,175
CONC137,280,79
CONC138,361,110
CONC139,334,93
CONC140,283,75
CONC141,320,71
CONC142,300,96
CONC143,517,101
CONC144,523,103
CONC145,359,85
CONC146,322,100
CONC147,350,141
CONC148,510,156
CONC149,374,95
CONC150,411,113
CONC151,185,60
CONC152,362,105
CONC153,362,91
CONC154,251,77
CONC155,290,75
CONC156,341,120
CONC157,295,107
CONC158,350,114
CONC159,419,122
CONC160,271,100
CONC161,373,101
CONC163,283,94
CONC164,405,106
CONC165,272,75
CONC801,15,2
CONC802,3,2
CONC803,0,0
CONC804,14,2
CROC101,570,151
CROC102,298,73
CROC801,0,0
DANV101,251,95
DANV102,191,50
DANV103,386,93
DANV104,479,129
DANV105,500,126
DANV106,403,152
DANV107,527,138
DANV108,495,141
DANV109,295,78
DANV110,185,64
DANV111,279,54
DANV112,437,138
DANV113,323,80
DANV114,445,123
DANV115,316,132
DANV116,277,55
DANV117,399,97
DANV118,412,92
DANV119,605,175
DANV120,455,141
DANV121,287,84
DANV122,319,121
DANV123,328,102
DANV124,255,75
DANV125,180,41
DANV126,581,141
DANV127,317,93
DANV128,257,87
DANV129,456,142
DANV130,354,88
DBAY101,566,221
DBAY102,418,234
DBAY103,203,115
DBAY104,387,230
DBAY105,157,82
DBAY106,508,247
DBAY107,333,194
DBAY801,52,36
DIAB101,255,123
ELCR101,633,66
ELCR102,586,94
ELCR103,370,69
ELCR104,673,64
ELCR105,467,59
ELCR106,354,51
ELCR107,361,60
ELCR108,439,63
ELCR109,573,77
ELCR110,556,69
ELCR111,485,49
ELCR112,401,48
ELCR113,668,64
ELCR114,390,43
ELCR115,303,56
ELSO101,395,116
ELSO102,469,113
ELSO103,294,78
ELSO104,359,94
ELSO105,475,156
ELSO106,400,83
ELSO107,205,48
ELSO801,0,0
ELSO802,71,22
ELSO803,4,5
ERIC101,528,97
ERIC102,591,99
ERIC103,224,35
ERIC801,22,1
FAIR801,1,0
GIAN101,309,101
GIAN102,242,80
GIAN103,359,137
GIAN104,428,132
GIAN105,281,86
HERC101,545,132
HERC102,563,158
HERC103,308,77
HERC104,396,94
HERC105,280,70
HERC106,380,99
HERC107,430,105
HERC108,339,107
HERC109,438,114
HERC110,323,121
HERC111,371,90
HERC113,511,102
HERC114,360,97
KENS101,350,45
KENS102,443,35
KENS103,648,45
KENS104,544,31
KENS801,0,0
KENS802,0,0
KNGT101,205,182
KNGT801,19,6
KNGT802,0,1
KNGT803,33,22
KNGT804,30,15
LAST801,11,10
LFET101,469,111
LFET102,361,77
LFET103,378,56
LFET104,443,65
LFET105,401,60
LFET106,353,86
LFET107,571,89
LFET108,585,103
LFET109,630,97
LFET110,352,67
LFET111,388,100
LFET112,173,45
LFET113,414,76
LFET114,393,74
LFET115,345,68
LFET116,495,108
LFET117,569,112
MARC801,78,41
MARC802,5,6
MARC803,7,6
MART101,247,60
MART103,166,45
MART104,446,111
MART106,193,48
MART107,411,125
MART108,395,125
MART109,390,89
MART110,251,76
MART111,556,151
MART112,365,70
MART114,251,74
MART115,290,110
MART116,185,64
MART117,204,72
MART118,315,112
MART120,438,87
MART125,306,84
MART126 0,191,59
MART801,1,0
MART802,80,24
MART803,19,10
MART804,74,16
MART805,68,7
MART806 0,52,20
MART807 0,37,8
MART808 0,69,12
MART809 0,7,0
MART810 0,41,9
MART811 0,64,17
MART812 0,16,4
MART813 0,71,18
MART814 0,3,1
MART815 0,54,19
MART816 0,17,6
MART817 0,23,8
MART818 0,77,35
MART819 0,13,6
MART820 0,49,14
MART821 0,70,21
MART822 0,74,24
MART823 0,15,4
MART824 0,11,2
MART825 0,9,5
MART826 0,61,32
MART827 0,0,0
MART828 0,15,2
MART829 0,3,0
MART830 0,78,26
MART831 0,115,41
MART832 0,111,36
MART833 0,120,26
MART834 0,150,49
MART835 0,137,26
MART836 0,108,37
MART837 0,75,17
MART838 0,44,12
MART839 0,116,42
