Precinct,Yes,No
ALHA101,208,95
ALHA801,10,9
ALHA802,23,8
ALHA803,7,4
ALHA804,65,24
ALHA805,21,9
ALHA806,0,0
ALMO101,261,100
ALMO102,576,200
ALMO103,357,151
ALMO104,399,144
ALMO105,206,83
ALMO106,322,144
ALMO107,265,80
ALMO108,307,93
ALMO109,335,133
ALMO110,379,128
ALMO111,370,140
ALMO112,219,107
ANTI101,114,61
ANTI102,307,152
ANTI103,251,142
ANTI104,338,179
ANTI105,309,154
ANTI106,266,119
ANTI107,282,162
ANTI108,406,223
ANTI109,391,151
ANTI110,334,154
ANTI111,373,210
ANTI112,221,114
ANTI113,194,90
ANTI114,268,117
ANTI115,332,163
ANTI116,187,118
ANTI117,304,192
ANTI118,237,119
ANTI119,387,163
ANTI120,417,176
ANTI121,309,119
ANTI122,425,180
ANTI123,459,214
ANTI124,437,177
ANTI125,307,180
ANTI126,212,111
ANTI127,303,177
ANTI128,260,149
ANTI129,184,102
ANTI130,238,115
ANTI131,365,165
ANTI132,232,138
ANTI133,441,186
ANTI134,322,166
ANTI135,299,150
ANTI136,347,158
ANTI137,297,121
ANTI138,357,175
ANTI139,338,164
ANTI140,188,92
ANTI141,343,159
ANTI142,260,89
ANTI143,403,179
ANTI144,198,117
ANTI145,244,113
ANTI146,286,129
ANTI147,328,181
ANTI148,227,118
ANTI149,147,101
ANTI150,239,126
ANTI151,156,57
ANTI152,204,114
ANTI801,3,0
ANTI802,6,2
AYER101,167,88
BAPO101,365,169
BAPO102,102,55
BAPO103,320,123
BAPO104,234,108
BAPO105,226,128
BAPO106,251,107
BAPO107,333,141
BAPO108,186,75
BAPO109,234,123
BAPO801,0,0
BAPO802,2,1
BETH101,392,282
BETH801,0,0
BKDI801,5,2
BKDI802,91,59
BKDI803,1,0
BKDI804,2,0
BKHW101,438,184
BKHW102,397,190
BKHW103,300,114
BKHW104,375,136
BKHW105,267,117
BKHW106,371,137
BKHW107,405,140
BKHW108,346,125
BREN101,398,189
BREN102,298,123
BREN103,336,232
BREN104,311,176
BREN105,163,83
BREN106,155,78
BREN107,383,185
BREN108,406,204
BREN109,372,193
BREN110,331,164
BREN111,518,276
BREN112,329,140
BREN113,247,158
BREN114,193,100
BREN115,231,121
BREN116,561,223
BREN117,168,74
BREN118,319,175
BREN119,362,147
BREN120,216,156
BREN121,218,101
BREN122,211,146
BREN123,294,173
BREN124,461,245
BREN125,65,45
BREN126,365,157
BREN127,698,201
BREN128,594,195
BREN129,162,78
BREN130,284,184
BREN131,191,113
BREN132,209,126
BREN133,243,138
BREN801,2,2
BREN802,38,12
BRHL101,288,87
BRHL102,290,65
BRHL103,411,108
BRHL801,0,0
BRVL101,135,85
BRVL801,80,34
BYRN101,136,87
BYRN801,41,42
BYRN802,11,13
BYRN803,1,0
CANY801,101,19
CASR101,178,58
CLAY101,430,160
CLAY102,421,196
CLAY103,280,102
CLAY104,298,167
CLAY105,486,178
CLAY106,312,147
CLAY107,513,214
CLYD101,137,89
CONC101,196,96
CONC102,320,122
CONC103,339,140
CONC104,325,117
CONC105,361,130
CONC106,310,110
CONC107,431,140
CONC108,327,124
CONC109,357,154
CONC110,333,116
CONC111,337,131
CONC112,301,140
CONC113,370,147
CONC114,304,149
CONC115,500,181
CONC116,414,131
CONC117,352,155
CONC118,513,183
CONC119,340,146
CONC120,392,137
CONC121,367,119
CONC122,282,111
CONC123,423,134
CONC124,425,172
CONC125,307,141
CONC126,459,192
CONC127,203,113
CONC128,436,155
CONC129,302,111
CONC130,206,65
CONC131,281,95
CONC132,253,93
CONC133,320,144
CONC134,338,138
CONC136,533,205
CONC137,277,86
CONC138,342,126
CONC139,313,118
CONC140,274,89
CONC141,287,95
CONC142,291,111
CONC143,484,142
CONC144,501,141
CONC145,330,115
CONC146,304,119
CONC147,332,164
CONC148,462,198
