Precinct,Yes,No
ALHA101,209,275
ALHA801,14,12
ALHA802,13,34
ALHA803,8,5
ALHA804,51,69
ALHA805,26,25
ALHA806,2,0
ALMO101,330,250
ALMO102,602,583
ALMO103,427,349
ALMO104,455,385
ALMO105,254,225
ALMO106,382,366
ALMO107,260,330
ALMO108,311,286
ALMO109,402,340
ALMO110,460,345
ALMO111,394,384
ALMO112,297,202
ANTI101,88,117
ANTI102,197,362
ANTI103,192,302
ANTI104,281,380
ANTI105,209,352
ANTI106,226,304
ANTI107,220,343
ANTI108,375,470
ANTI109,319,419
ANTI110,247,366
ANTI111,317,457
ANTI112,145,272
ANTI113,135,209
ANTI114,179,314
ANTI115,255,344
ANTI116,150,220
ANTI117,260,389
ANTI118,172,279
ANTI119,278,386
ANTI120,346,447
ANTI121,216,325
ANTI122,327,450
ANTI123,284,552
ANTI124,297,486
ANTI125,259,358
ANTI126,170,259
ANTI127,300,326
ANTI128,197,319
ANTI129,133,233
ANTI130,174,294
ANTI131,297,387
ANTI132,194,294
ANTI133,318,457
ANTI134,234,391
ANTI135,213,356
ANTI136,268,362
ANTI137,203,328
ANTI138,254,414
ANTI139,292,332
ANTI140,158,199
ANTI141,227,404
ANTI142,162,267
ANTI143,300,462
ANTI144,156,247
ANTI145,135,301
ANTI146,251,290
ANTI147,232,401
ANTI148,148,265
ANTI149,120,178
ANTI150,196,284
ANTI151,91,185
ANTI152,155,256
ANTI801,0,3
ANTI802,7,5
AYER101,152,203
BAPO101,216,402
BAPO102,56,121
BAPO103,184,330
BAPO104,146,271
BAPO105,146,275
BAPO106,171,282
BAPO107,252,374
BAPO108,109,207
BAPO109,153,278
BAPO801,1,2
BAPO802,3,0
BETH101,456,470
BETH801,0,0
BKDI801,6,3
BKDI802,102,101
BKDI803,1,1
BKDI804,2,0
BKHW101,589,390
BKHW102,468,378
BKHW103,341,285
BKHW104,299,401
BKHW105,319,241
BKHW106,409,362
BKHW107,404,361
BKHW108,336,340
BREN101,318,444
BREN102,252,327
BREN103,386,444
BREN104,318,368
BREN105,134,177
BREN106,143,179
BREN107,320,449
BREN108,341,489
BREN109,363,478
BREN110,323,380
BREN111,461,636
BREN112,218,373
BREN113,238,351
BREN114,189,236
BREN115,212,298
BREN116,533,623
BREN117,163,200
BREN118,300,369
BREN119,329,391
BREN120,202,291
BREN121,220,246
BREN122,258,278
BREN123,346,332
BREN124,352,564
BREN125,71,84
BREN126,327,415
BREN127,630,678
BREN128,538,697
BREN129,158,203
BREN130,267,355
BREN131,163,258
BREN132,212,237
BREN133,211,295
BREN801,4,0
BREN802,27,39
BRHL101,240,297
BRHL102,241,306
BRHL103,307,458
BRHL801,0,0
BRVL101,176,147
BRVL801,75,82
BYRN101,154,151
BYRN801,59,57
BYRN802,21,19
BYRN803,2,0
CANY801,19,128
CASR101,167,194
CLAY101,380,459
CLAY102,451,471
CLAY103,259,299
CLAY104,365,386
CLAY105,456,540
CLAY106,322,382
CLAY107,462,588
CLYD101,128,181
CONC101,130,247
CONC102,215,370
CONC103,226,399
CONC104,251,365
CONC105,258,394
CONC106,212,362
CONC107,259,484
CONC108,221,415
CONC109,291,441
CONC110,205,407
CONC111,235,403
CONC112,262,366
CONC113,268,442
CONC114,247,378
CONC115,402,543
CONC116,245,437
CONC117,240,423
CONC118,296,562
CONC119,187,446
CONC120,295,413
CONC121,301,367
CONC122,243,335
CONC123,289,464
CONC124,309,530
CONC125,240,383
CONC126,376,537
CONC127,243,232
CONC128,343,526
CONC129,261,336
CONC130,155,223
CONC131,188,346
CONC132,219,280
CONC133,268,377
CONC134,261,396
CONC136,413,611
CONC137,174,333
CONC138,294,383
CONC139,198,370
CONC140,238,296
CONC141,221,330
CONC142,252,315
CONC143,333,542
CONC144,344,530
CONC145,225,332
CONC146,217,359
CONC147,269,359
CONC148,345,532
CONC149,267,401
CONC150,298,444
CONC151,156,218
CONC152,251,428
CONC153,270,394
CONC154,175,263
CONC155,194,337
CONC156,291,389
CONC157,229,333
CONC158,236,406
CONC159,327,451
CONC160,266,316
CONC161,292,394
CONC163,203,284
CONC164,319,435
CONC165,164,274
CONC801,7,25
CONC802,1,5
CONC803,0,0
CONC804,3,17
CROC101,356,661
CROC102,176,329
CROC801,0,1
DANV101,304,265
DANV102,237,191
DANV103,315,380
DANV104,514,457
DANV105,508,449
DANV106,443,434
DANV107,499,502
DANV108,544,454
DANV109,306,269
DANV110,189,184
DANV111,202,286
DANV112,434,423
DANV113,289,328
DANV114,405,471
DANV115,362,295
DANV116,213,264
DANV117,381,384
DANV118,360,388
DANV119,609,553
DANV120,450,485
DANV121,252,276
DANV122,367,297
DANV123,347,333
DANV124,239,253
DANV125,159,210
DANV126,489,569
DANV127,299,320
DANV128,277,245
DANV129,476,445
DANV130,290,314
DBAY101,415,666
DBAY102,420,493
DBAY103,264,238
DBAY104,515,424
DBAY105,153,169
DBAY106,660,472
DBAY107,407,366
DBAY801,68,70
DIAB101,353,276
ELCR101,236,821
ELCR102,299,751
ELCR103,159,472
ELCR104,275,808
ELCR105,218,575
ELCR106,128,474
ELCR107,159,483
ELCR108,196,581
ELCR109,224,745
ELCR110,210,757
ELCR111,137,628
ELCR112,103,547
ELCR113,213,910
ELCR114,153,461
ELCR115,112,410
ELSO101,252,473
ELSO102,245,546
ELSO103,199,325
ELSO104,265,396
ELSO105,326,521
ELSO106,233,427
ELSO107,121,214
ELSO801,0,2
ELSO802,60,86
ELSO803,1,13
ERIC101,254,689
ERIC102,248,737
ERIC103,110,261
ERIC801,15,25
FAIR801,1,0
GIAN101,188,307
GIAN102,155,255
GIAN103,236,421
GIAN104,309,446
GIAN105,162,297
HERC101,360,578
HERC102,343,645
HERC103,168,310
HERC104,278,396
HERC105,204,274
HERC106,297,350
HERC107,253,493
HERC108,231,378
HERC109,258,473
HERC110,215,340
HERC111,238,374
HERC113,333,494
HERC114,217,361
KENS101,140,444
KENS102,186,525
KENS103,228,851
KENS104,207,695
KENS801,1,0
KENS802,0,1
KNGT101,353,239
KNGT801,14,19
KNGT802,5,3
KNGT803,32,37
KNGT804,30,35
LAST801,28,18
LFET101,416,545
LFET102,320,432
LFET103,282,426
LFET104,324,478
LFET105,284,429
LFET106,232,423
LFET107,372,612
LFET108,308,726
LFET109,392,729
LFET110,214,391
LFET111,276,465
LFET112,152,187
LFET113,325,460
LFET114,300,430
LFET115,295,384
LFET116,418,558
LFET117,447,645
MARC801,78,76
MARC802,11,10
MARC803,8,11
MART101,125,315
MART103,78,228
MART104,281,505
MART106,124,237
MART107,260,464
MART108,295,461
MART109,244,434
MART110,191,283
MART111,390,618
MART112,205,396
MART114,174,272
MART115,238,358
MART116,136,232
MART117,195,267
MART118,271,338
MART120,293,484
MART125,174,325
MART126 0,121,231
MART801,0,1
MART802,88,81
MART803,20,32
MART804,49,89
MART805,38,74
MART806 0,32,61
MART807 0,18,42
MART808 0,40,88
MART809 0,4,3
MART810 0,35,54
MART811 0,28,72
MART812 0,8,12
MART813 0,34,79
MART814 0,0,6
MART815 0,37,53
MART816 0,11,19
MART817 0,13,22
MART818 0,52,89
MART819 0,6,20
MART820 0,28,54
MART821 0,59,76
MART822 0,56,101
MART823 0,11,11
MART824 0,5,14
MART825 0,8,11
MART826 0,47,89
MART827 0,0,0
MART828 0,14,13
MART829 0,3,1
MART830 0,45,104
MART831 0,71,158
MART832 0,92,142
MART833 0,63,132
MART834 0,112,178
MART835 0,81,139
MART836 0,79,143
MART837 0,32,82
MART838 0,31,42
MART839 0,108,119
MART840 0,71,124
MART841 0,105,148
MART842 0,103,132
MART843 0,93,113
MART844 0,120,127
MART845 0,1,9
MART846 0,134,213
MART847 0,118,191
MART848 0,35,94
MART849 0,98,110
MART850 0,122,196
MDIA101,165,160
MDIA801,2,4
MDIA802,0,4
MORG101,470,745
MORG102,274,470
MORG103,401,624
MORG104,466,679
MORG105,425,636
MORG106,436,615
MORG107,489,730
MORG108,317,494
MVIE101,139,258
MVIE102,167,307
MVIE801 0,0,0
MVIE802 0,3,4
NCYN101,238,202
NICH801,0,5
NRIC101,183,360
NRTV801,3,4
NRTV802,8,2
OKLY101,285,282
OKLY102,268,361
OKLY103,281,400
OKLY104,371,575
OKLY105,279,349
OKLY106,410,364
OKLY107,153,251
OKLY108,195,292
OKLY109,189,276
OKLY110,251,389
OKLY111,221,268
OKLY112,234,245
OKLY113,376,574
OKLY114,330,428
OKLY115,239,375
OKLY116,333,460
OKLY117,211,295
OKLY118,143,200
OKLY119,154,251
OKLY801,2,1
OLEU801,3,3
OLEU802,3,11
ORDA101,477,800
ORDA102,238,332
ORDA103,341,490
ORDA104,181,303
ORDA105,384,581
ORDA106,385,699
ORDA107,406,693
ORDA108,407,669
ORDA109,264,451
ORDA110,145,239
ORDA111,395,722
ORDA112,316,497
ORDA113,135,214
ORDA801,3,0
PACH101,334,558
PACH102,216,265
PACH801,0,3
PACH802,38,50
PACH803,1,1
PINL102,239,341
PINL103,210,409
PINL104,190,303
PINL105,275,429
PINL106,213,342
PINL107,172,327
PINL108,255,479
PINL109,187,292
PINL110,326,487
PINL111,285,467
PINL112,325,504
PINL801,5,10
PINL802,49,114
PINL803,24,31
PLHL101,256,425
PLHL102,196,351
PLHL103,218,370
PLHL104,419,683
PLHL105,262,409
PLHL106,357,595
PLHL107,368,528
PLHL108,358,595
PLHL109,272,567
PLHL110,334,465
PLHL111,332,508
PLHL112,222,398
PLHL113,305,535
PLHL114,356,603
PLHL115,308,613
PLHL116,253,428
PLHL117,227,503
PLHL118,222,433
PLHL119,237,451
PRCO801,45,68
PTTS101,253,438
PTTS102,206,327
PTTS103,207,302
PTTS104,204,406
PTTS105,103,177
PTTS106,221,340
PTTS107,259,405
PTTS108,193,401
PTTS109,175,319
PTTS110,189,328
PTTS111,245,296
PTTS112,185,306
PTTS113,155,284
PTTS114,211,396
PTTS115,256,382
PTTS116,182,262
PTTS117,178,247
PTTS118,193,325
PTTS119,181,268
PTTS120,146,264
PTTS121,168,222
PTTS122,129,260
PTTS123,106,203
PTTS124,122,218
PTTS125,212,343
PTTS126,166,300
PTTS127,150,231
PTTS128,204,381
PTTS129,321,441
PTTS130,167,271
PTTS131,188,313
PTTS132,299,395
PTTS133,152,277
PTTS134,161,297
PTTS135,146,259
PTTS801,2,1
PTTS802,0,0
RICH101,223,588
RICH102,147,352
RICH103,241,443
RICH104,257,690
RICH105,278,795
RICH106,239,520
RICH107,56,128
RICH108,198,531
RICH109,93,252
RICH110,120,361
RICH111,98,243
RICH112,167,324
RICH113,180,479
RICH114,167,418
RICH115,157,365
RICH116,82,195
RICH117,160,296
RICH118,132,410
RICH119,135,270
RICH120,96,251
RICH121,62,125
RICH122,244,608
RICH123,238,641
RICH124,142,379
RICH125,171,401
RICH126,149,374
RICH127,147,346
RICH128,154,457
RICH129,95,314
RICH130,152,281
RICH131,182,297
