Precinct,Yes,No
RICH101,461,352
RICH102,305,188
RICH103,304,371
RICH104,631,303
RICH105,678,397
RICH106,508,241
RICH107,109,63
RICH108,499,220
RICH109,209,135
RICH110,343,133
RICH111,235,117
RICH112,336,168
RICH113,393,270
RICH114,385,199
RICH115,338,177
RICH116,182,93
RICH117,321,148
RICH118,415,130
RICH119,282,129
RICH120,235,111
RICH121,137,50
RICH122,601,255
RICH123,665,220
RICH124,341,176
RICH125,388,178
RICH126,345,179
RICH127,341,145
RICH128,442,186
RICH129,300,105
RICH130,278,162
RICH131,288,183
RICH132,358,238
RICH133,322,190
RICH134,278,126
RICH135,310,126
RICH136,262,133
RICH137,385,212
RICH138,218,227
RICH139,570,363
RICH140,195,178
RICH141,316,263
RICH142,565,414
RICH143,624,278
RICH144,491,295
RICH145,652,289
RICH146,117,70
RICH147,256,140
RICH148,72,52
RICH149,162,120
RICH150,213,104
RICH151,267,135
RICH152,247,124
RICH153,244,87
RICH154,344,123
RICH155,318,152
RICH156,232,177
RICH801,16,8
RICH802,17,12
RICH803,93,68
RICH804,83,42
RICH805,47,32
RICH806,61,61
RICH807,0,0
