Precinct,Yes,No
ALHA101,210,267
ALHA801,15,10
ALHA802,27,25
ALHA803,7,6
ALHA804,64,58
ALHA805,18,29
ALHA806,0,1
ALMO101,229,329
ALMO102,572,597
ALMO103,351,411
ALMO104,343,486
ALMO105,179,289
ALMO106,314,433
ALMO107,315,271
ALMO108,307,282
ALMO109,293,446
ALMO110,340,446
ALMO111,323,444
ALMO112,199,303
ANTI101,119,90
ANTI102,348,204
ANTI103,351,147
ANTI104,412,251
ANTI105,361,206
ANTI106,320,211
ANTI107,336,231
ANTI108,426,418
ANTI109,383,345
ANTI110,366,249
ANTI111,422,361
ANTI112,248,167
ANTI113,229,124
ANTI114,338,166
ANTI115,370,237
ANTI116,229,141
ANTI117,314,333
ANTI118,244,209
ANTI119,447,230
ANTI120,459,332
ANTI121,355,199
ANTI122,478,295
ANTI123,533,317
ANTI124,535,254
ANTI125,351,272
ANTI126,236,198
ANTI127,347,270
ANTI128,337,183
ANTI129,222,151
ANTI130,267,194
ANTI131,372,318
ANTI132,307,193
ANTI133,532,257
ANTI134,431,201
ANTI135,356,221
ANTI136,377,256
ANTI137,315,227
ANTI138,424,244
ANTI139,373,254
ANTI140,207,156
ANTI141,401,244
ANTI142,285,151
ANTI143,519,242
ANTI144,239,164
ANTI145,296,136
ANTI146,337,207
ANTI147,424,215
ANTI148,343,81
ANTI149,214,80
ANTI150,278,207
ANTI151,181,98
ANTI152,271,141
ANTI801,2,1
ANTI802,8,3
AYER101,155,200
BAPO101,412,195
BAPO102,127,48
BAPO103,370,148
BAPO104,311,97
BAPO105,313,113
BAPO106,292,163
BAPO107,375,253
BAPO108,227,87
BAPO109,297,131
BAPO801,2,2
BAPO802,3,0
BETH101,409,517
BETH801,0,0
BKDI801,4,5
BKDI802,90,109
BKDI803,2,0
BKDI804,2,0
BKHW101,408,550
BKHW102,329,506
BKHW103,255,361
BKHW104,354,335
BKHW105,193,360
BKHW106,327,439
BKHW107,345,420
BKHW108,273,384
BREN101,413,342
BREN102,311,270
BREN103,330,497
BREN104,301,392
BREN105,167,153
BREN106,161,158
BREN107,397,371
BREN108,448,387
BREN109,354,489
BREN110,297,412
BREN111,534,560
BREN112,368,224
BREN113,257,329
BREN114,207,219
BREN115,255,253
BREN116,511,645
BREN117,170,200
BREN118,303,386
BREN119,340,391
BREN120,260,243
BREN121,206,250
BREN122,214,327
BREN123,252,426
BREN124,456,466
BREN125,58,96
BREN126,350,389
BREN127,665,648
BREN128,624,606
BREN129,172,189
BREN130,292,340
BREN131,215,214
BREN132,201,252
BREN133,189,320
BREN801,2,1
BREN802,39,26
BRHL101,241,288
BRHL102,300,236
BRHL103,439,310
BRHL801,0,0
BRVL101,136,188
BRVL801,69,90
BYRN101,129,170
BYRN801,24,89
BYRN802,7,34
BYRN803,1,1
CANY801,133,13
CASR101,198,167
CLAY101,402,446
CLAY102,396,523
CLAY103,288,269
CLAY104,337,401
CLAY105,467,526
CLAY106,276,422
CLAY107,502,539
CLYD101,153,153
CONC101,243,127
CONC102,400,181
CONC103,428,212
CONC104,349,267
CONC105,373,282
CONC106,392,191
CONC107,421,327
CONC108,405,237
CONC109,414,319
CONC110,464,157
CONC111,384,259
CONC112,352,270
CONC113,426,282
CONC114,338,292
CONC115,489,438
CONC116,522,176
CONC117,435,219
CONC118,650,209
CONC119,420,224
CONC120,438,274
CONC121,381,288
CONC122,316,260
CONC123,484,274
CONC124,457,391
CONC125,386,248
CONC126,490,418
CONC127,224,250
CONC128,456,409
CONC129,306,279
CONC130,220,158
CONC131,367,170
CONC132,261,237
CONC133,365,286
CONC134,368,279
CONC136,571,466
CONC137,331,179
CONC138,354,322
CONC139,356,208
CONC140,278,251
CONC141,284,266
CONC142,294,273
CONC143,505,363
CONC144,495,370
CONC145,398,156
CONC146,395,171
CONC147,390,245
CONC148,550,344
CONC149,362,308
CONC150,410,326
CONC151,217,152
CONC152,391,278
CONC153,370,284
CONC154,258,182
CONC155,304,232
CONC156,348,336
CONC157,314,257
CONC158,396,252
CONC159,445,322
CONC160,262,323
CONC161,329,354
CONC163,332,155
CONC164,404,333
CONC165,321,123
CONC801,18,13
CONC802,3,2
CONC803,0,0
CONC804,10,10
CROC101,678,349
CROC102,338,163
CROC801,0,1
DANV101,213,346
DANV102,164,254
DANV103,343,346
DANV104,473,487
DANV105,456,502
DANV106,415,458
DANV107,509,486
DANV108,466,515
DANV109,269,301
DANV110,171,199
DANV111,262,236
DANV112,413,438
DANV113,295,320
DANV114,406,461
DANV115,279,372
DANV116,238,232
DANV117,369,395
DANV118,378,364
DANV119,575,574
DANV120,459,462
DANV121,233,287
DANV122,296,360
DANV123,308,371
DANV124,236,253
DANV125,200,167
DANV126,557,496
DANV127,305,302
DANV128,248,273
DANV129,395,528
DANV130,256,340
DBAY101,481,597
DBAY102,338,566
DBAY103,153,357
DBAY104,308,620
DBAY105,129,201
DBAY106,339,785
DBAY107,294,475
DBAY801,42,88
DIAB101,220,399
ELCR101,831,236
ELCR102,741,304
ELCR103,529,112
ELCR104,793,280
ELCR105,570,232
ELCR106,462,147
ELCR107,462,185
ELCR108,597,197
ELCR109,768,219
ELCR110,768,201
ELCR111,625,139
ELCR112,550,112
ELCR113,917,224
ELCR114,498,124
ELCR115,442,91
ELSO101,490,240
ELSO102,578,225
ELSO103,328,197
ELSO104,454,216
ELSO105,531,317
ELSO106,506,160
ELSO107,251,87
ELSO801,2,0
ELSO802,85,59
ELSO803,5,9
ERIC101,736,211
ERIC102,792,206
ERIC103,289,81
ERIC801,33,6
FAIR801,1,0
GIAN101,361,148
GIAN102,256,152
GIAN103,401,260
GIAN104,501,259
GIAN105,317,135
HERC101,591,353
HERC102,641,360
HERC103,345,130
HERC104,411,275
HERC105,267,216
HERC106,416,245
HERC107,508,251
HERC108,369,237
HERC109,534,219
HERC110,332,225
HERC111,341,268
HERC113,488,341
HERC114,408,177
KENS101,450,124
KENS102,587,147
KENS103,946,156
KENS104,759,134
KENS801,1,0
KENS802,1,0
KNGT101,191,398
KNGT801,16,19
KNGT802,2,4
KNGT803,29,40
KNGT804,32,30
LAST801,12,32
LFET101,494,456
LFET102,400,357
LFET103,390,319
LFET104,480,328
LFET105,392,325
LFET106,377,287
LFET107,597,401
LFET108,722,316
LFET109,720,393
LFET110,363,241
LFET111,464,295
LFET112,183,156
LFET113,444,332
LFET114,422,319
LFET115,366,304
LFET116,535,445
LFET117,670,423
MARC801,54,103
MARC802,10,10
MARC803,8,13
MART101,307,142
MART103,196,111
MART104,498,287
MART106,226,143
MART107,365,366
MART108,359,403
MART109,361,324
MART110,258,221
MART111,514,502
MART112,359,247
MART114,236,214
MART115,323,273
MART116,207,170
MART117,218,237
MART118,313,297
MART120,464,314
MART125,357,150
MART126 0,190,157
MART801,1,0
MART802,73,93
MART803,29,22
MART804,77,57
MART805,63,49
MART806 0,71,23
MART807 0,43,18
MART808 0,81,49
MART809 0,7,0
MART810 0,51,34
MART811 0,79,27
MART812 0,19,5
MART813 0,81,28
MART814 0,4,2
MART815 0,44,44
MART816 0,19,11
MART817 0,25,10
MART818 0,87,59
MART819 0,10,17
MART820 0,55,28
