Precinct,Yes,No
ALHA101,210,93
ALHA801,12,6
ALHA802,25,5
ALHA803,10,1
ALHA804,63,25
ALHA805,18,11
ALHA806,0,0
ALMO101,251,108
ALMO102,596,175
ALMO103,368,141
ALMO104,392,145
ALMO105,209,80
ALMO106,332,132
ALMO107,266,80
ALMO108,304,92
ALMO109,322,138
ALMO110,364,130
ALMO111,355,154
ALMO112,213,109
ANTI101,123,53
ANTI102,336,120
ANTI103,285,104
ANTI104,346,169
ANTI105,330,128
ANTI106,278,112
ANTI107,328,119
ANTI108,424,205
ANTI109,385,163
ANTI110,338,145
ANTI111,417,162
ANTI112,229,99
ANTI113,207,77
ANTI114,284,107
ANTI115,355,138
ANTI116,205,94
ANTI117,308,182
ANTI118,254,95
ANTI119,391,146
ANTI120,433,160
ANTI121,318,107
ANTI122,447,155
ANTI123,489,178
ANTI124,472,139
ANTI125,343,146
ANTI126,214,104
ANTI127,330,151
ANTI128,276,127
ANTI129,189,98
ANTI130,247,102
ANTI131,389,139
ANTI132,267,103
ANTI133,452,169
ANTI134,341,139
ANTI135,330,124
ANTI136,342,162
ANTI137,307,104
ANTI138,363,166
ANTI139,363,132
ANTI140,195,85
ANTI141,390,114
ANTI142,266,83
ANTI143,446,130
ANTI144,218,100
ANTI145,232,116
ANTI146,302,109
ANTI147,366,147
ANTI148,259,90
ANTI149,168,79
ANTI150,270,95
ANTI151,160,50
ANTI152,234,81
ANTI801,3,0
ANTI802,6,2
AYER101,178,72
BAPO101,390,138
BAPO102,117,39
BAPO103,327,112
BAPO104,250,90
BAPO105,253,99
BAPO106,267,94
BAPO107,327,144
BAPO108,198,65
BAPO109,245,111
BAPO801,0,0
BAPO802,0,3
BETH101,441,232
BETH801,0,0
BKDI801,5,1
BKDI802,102,54
BKDI803,1,0
BKDI804,2,0
BKHW101,440,191
BKHW102,416,173
BKHW103,289,117
BKHW104,378,129
BKHW105,270,110
BKHW106,370,139
BKHW107,400,138
BKHW108,354,119
BREN101,407,181
BREN102,295,126
BREN103,360,205
BREN104,324,158
BREN105,150,96
BREN106,156,76
BREN107,380,187
BREN108,441,172
BREN109,376,190
BREN110,330,158
BREN111,539,248
BREN112,351,120
BREN113,265,137
BREN114,210,83
BREN115,235,117
BREN116,559,216
BREN117,167,73
BREN118,318,182
BREN119,378,132
BREN120,231,137
BREN121,224,93
BREN122,241,118
BREN123,314,151
BREN124,479,218
BREN125,68,38
BREN126,402,118
BREN127,720,186
BREN128,630,159
BREN129,169,73
BREN130,290,172
BREN131,202,100
BREN132,224,110
BREN133,262,115
BREN801,3,1
BREN802,34,14
BRHL101,269,99
BRHL102,295,65
BRHL103,423,100
BRHL801,0,0
BRVL101,136,84
BRVL801,74,38
BYRN101,126,95
BYRN801,44,39
BYRN802,12,11
BYRN803,1,0
CANY801,88,31
CASR101,173,54
CLAY101,428,154
CLAY102,439,170
CLAY103,284,94
CLAY104,291,168
CLAY105,474,188
CLAY106,309,144
CLAY107,507,210
CLYD101,139,86
CONC101,207,83
CONC102,313,130
CONC103,351,123
CONC104,310,127
CONC105,353,135
CONC106,322,97
CONC107,415,156
CONC108,335,123
CONC109,367,147
CONC110,333,115
CONC111,321,149
CONC112,280,156
CONC113,378,131
CONC114,307,139
CONC115,500,165
CONC116,442,111
CONC117,356,155
CONC118,512,186
CONC119,341,140
CONC120,370,162
CONC121,345,139
CONC122,301,93
CONC123,406,147
CONC124,425,162
CONC125,318,129
CONC126,438,207
CONC127,210,102
CONC128,445,139
CONC129,308,100
CONC130,204,58
CONC131,291,83
CONC132,267,81
CONC133,306,157
CONC134,312,158
CONC136,538,206
CONC137,269,95
CONC138,346,122
CONC139,320,111
CONC140,276,83
CONC141,292,93
CONC142,283,116
CONC143,476,144
CONC144,514,113
CONC145,339,107
CONC146,300,118
CONC147,351,136
CONC148,479,180
CONC149,358,115
CONC150,375,149
CONC151,164,77
CONC152,326,138
CONC153,351,97
CONC154,243,83
CONC155,263,100
CONC156,340,128
CONC157,283,125
CONC158,330,137
CONC159,397,147
CONC160,264,106
CONC161,357,121
CONC163,279,98
CONC164,376,136
CONC165,274,81
CONC801,15,2
CONC802,4,2
CONC803,0,0
CONC804,12,4
CROC101,514,211
CROC102,286,80
CROC801,0,0
DANV101,234,109
DANV102,193,54
DANV103,366,114
DANV104,465,145
DANV105,488,135
DANV106,388,164
DANV107,509,156
DANV108,487,145
DANV109,283,83
DANV110,174,71
DANV111,260,76
DANV112,427,153
DANV113,304,99
DANV114,434,134
DANV115,308,138
DANV116,266,63
DANV117,378,123
DANV118,390,108
DANV119,604,178
DANV120,436,158
DANV121,275,97
DANV122,311,132
DANV123,310,123
DANV124,250,82
DANV125,168,57
DANV126,562,161
DANV127,327,88
DANV128,253,92
DANV129,435,166
DANV130,344,98
DBAY101,547,244
DBAY102,413,239
DBAY103,210,105
DBAY104,384,232
DBAY105,152,86
DBAY106,494,258
DBAY107,339,192
DBAY801,51,38
DIAB101,253,120
ELCR101,516,180
ELCR102,518,168
ELCR103,328,107
ELCR104,554,186
ELCR105,404,124
ELCR106,305,100
ELCR107,307,115
ELCR108,390,112
ELCR109,491,152
ELCR110,482,149
ELCR111,407,125
ELCR112,320,128
ELCR113,529,201
ELCR114,354,83
ELCR115,254,104
ELSO101,384,123
ELSO102,434,145
ELSO103,267,107
ELSO104,322,131
ELSO105,450,185
ELSO106,365,115
ELSO107,196,57
ELSO801,0,0
ELSO802,56,34
ELSO803,4,5
ERIC101,462,164
ERIC102,472,217
ERIC103,179,80
ERIC801,18,5
FAIR801,1,0
GIAN101,302,118
GIAN102,228,92
GIAN103,357,156
GIAN104,421,149
GIAN105,272,99
HERC101,499,188
HERC102,542,188
HERC103,301,82
HERC104,355,136
HERC105,267,86
HERC106,355,128
HERC107,428,113
HERC108,324,127
HERC109,436,120
HERC110,313,127
HERC111,356,108
HERC113,482,138
HERC114,356,104
KENS101,298,97
KENS102,391,89
KENS103,534,162
KENS104,478,104
KENS801,0,0
KENS802,0,0
KNGT101,192,188
KNGT801,18,6
KNGT802,0,1
KNGT803,33,21
KNGT804,32,14
LAST801,9,12
LFET101,478,106
LFET102,344,94
LFET103,357,79
LFET104,398,101
LFET105,383,77
LFET106,323,116
LFET107,532,126
LFET108,525,161
LFET109,584,146
LFET110,330,88
LFET111,395,94
LFET112,165,49
LFET113,388,106
LFET114,371,93
LFET115,316,96
LFET116,459,143
LFET117,533,147
MARC801,68,47
MARC802,3,8
MARC803,7,7
MART101,232,71
MART103,156,55
MART104,423,136
MART106,188,60
MART107,397,141
MART108,379,136
MART109,380,102
MART110,243,88
MART111,516,189
MART112,348,83
MART114,237,91
MART115,287,116
MART116,187,65
MART117,204,69
MART118,300,118
MART120,414,114
MART125,295,95
MART126 0,184,64
MART801,0,1
MART802,81,24
MART803,21,8
MART804,72,16
MART805,57,19
MART806 0,55,17
MART807 0,32,14
MART808 0,58,25
MART809 0,7,0
MART810 0,39,10
MART811 0,58,27
MART812 0,14,6
MART813 0,63,24
MART814 0,3,1
MART815 0,46,29
MART816 0,16,7
MART817 0,22,9
MART818 0,76,33
MART819 0,9,9
MART820 0,44,19
MART821 0,63,26
MART822 0,66,35
MART823 0,13,6
MART824 0,9,4
MART825 0,9,5
MART826 0,62,32
MART827 0,0,0
MART828 0,15,2
MART829 0,3,0
MART830 0,71,35
MART831 0,114,43
MART832 0,106,40
MART833 0,116,30
MART834 0,144,54
MART835 0,129,35
MART836 0,109,38
MART837 0,66,26
MART838 0,45,10
MART839 0,118,41
MART840 0,115,26
MART841 0,141,36
MART842 0,111,55
MART843 0,106,43
MART844 0,105,49
MART845 0,7,2
MART846 0,176,62
MART847 0,168,44
MART848 0,63,21
MART849 0,91,33
MART850 0,184,48
MDIA101,180,46
MDIA801,4,1
MDIA802,3,1
MORG101,637,169
MORG102,353,129
MORG103,517,119
MORG104,557,195
MORG105,534,148
MORG106,542,128
MORG107,600,155
MORG108,363,107
MVIE101,199,110
MVIE102,225,99
MVIE801 0,0,0
MVIE802 0,5,0
NCYN101,240,88
NICH801,4,1
NRIC101,328,129
NRTV801,3,2
NRTV802,8,2
OKLY101,307,146
OKLY102,318,160
OKLY103,329,173
OKLY104,526,210
OKLY105,319,163
OKLY106,352,218
OKLY107,229,96
OKLY108,264,119
OKLY109,252,123
OKLY110,301,183
OKLY111,232,124
OKLY112,217,132
OKLY113,497,206
OKLY114,350,201
OKLY115,315,147
OKLY116,419,192
OKLY117,266,126
OKLY118,192,78
OKLY119,188,92
OKLY801,0,3
OLEU801,1,0
OLEU802,6,4
ORDA101,615,179
ORDA102,318,62
ORDA103,430,116
ORDA104,229,52
ORDA105,495,108
ORDA106,525,143
ORDA107,516,147
ORDA108,532,123
ORDA109,347,77
ORDA110,199,36
ORDA111,571,157
ORDA112,400,112
ORDA113,169,43
ORDA801,1,2
PACH101,466,176
PACH102,265,117
PACH801,0,3
PACH802,42,20
PACH803,0,2
PINL102,334,99
PINL103,350,132
PINL104,263,87
PINL105,395,137
PINL106,328,96
PINL107,270,98
PINL108,386,160
PINL109,263,73
PINL110,427,156
PINL111,423,139
PINL112,426,176
PINL801,5,7
PINL802,92,24
PINL803,27,5
PLHL101,398,110
PLHL102,271,103
PLHL103,300,114
PLHL104,580,174
PLHL105,360,110
PLHL106,458,130
PLHL107,434,126
PLHL108,480,161
PLHL109,433,131
PLHL110,425,141
PLHL111,389,145
PLHL112,294,96
PLHL113,383,177
PLHL114,461,182
PLHL115,494,155
PLHL116,334,120
PLHL117,407,145
PLHL118,371,105
PLHL119,390,127
PRCO801,49,30
PTTS101,370,172
PTTS102,323,94
PTTS103,292,96
PTTS104,355,118
PTTS105,179,52
PTTS106,305,130
PTTS107,367,144
PTTS108,364,107
PTTS109,301,102
PTTS110,312,97
PTTS111,299,121
PTTS112,291,94
PTTS113,262,95
PTTS114,369,122
PTTS115,391,123
PTTS116,242,107
PTTS117,222,83
PTTS118,304,99
PTTS119,256,94
PTTS120,227,85
PTTS121,227,91
PTTS122,239,84
PTTS123,212,61
PTTS124,188,80
PTTS125,358,106
PTTS126,273,96
PTTS127,217,87
PTTS128,362,133
PTTS129,461,146
PTTS130,264,94
PTTS131,305,109
PTTS132,415,125
PTTS133,257,76
PTTS134,254,99
PTTS135,220,78
PTTS801,2,0
PTTS802,0,0
RICH101,392,133
RICH102,265,82
RICH103,358,83
RICH104,489,148
RICH105,579,154
RICH106,388,166
RICH107,100,40
RICH108,364,132
RICH109,207,77
RICH110,241,94
RICH111,190,85
RICH112,281,114
RICH113,379,138
RICH114,348,131
RICH115,300,112
RICH116,182,45
RICH117,264,105
RICH118,289,122
RICH119,236,101
RICH120,192,95
RICH121,113,34
RICH122,454,156
RICH123,455,190
RICH124,242,100
RICH125,324,110
RICH126,277,104
RICH127,282,102
RICH128,373,110
RICH129,240,95
RICH130,267,99
RICH131,292,96
RICH132,349,81
RICH133,298,103
RICH134,234,81
RICH135,268,89
RICH136,247,81
RICH137,365,105
RICH138,240,66
RICH139,519,170
RICH140,201,70
RICH141,307,113
RICH142,514,147
RICH143,501,187
RICH144,425,140
RICH145,473,175
RICH146,108,43
