Precinct,DIANNE FEINSTEIN,KEVIN DE LEON
MART819 0,10,16
MART820 0,38,46
MART821 0,71,49
MART822 0,89,53
MART823 0,12,8
MART824 0,11,5
MART825 0,13,4
MART826 0,54,71
MART827 0,0,0
MART828 0,16,9
MART829 0,1,3
MART830 0,82,65
MART831 0,116,92
MART832 0,131,97
MART833 0,109,81
MART834 0,144,129
MART835 0,111,100
MART836 0,128,86
MART837 0,65,49
MART838 0,40,33
MART839 0,126,83
MART840 0,113,67
MART841 0,158,89
MART842 0,114,97
MART843 0,114,72
MART844 0,132,99
MART845 0,9,1
MART846 0,198,124
MART847 0,164,118
MART848 0,66,57
MART849 0,124,63
MART850 0,185,116
MDIA101,185,125
MDIA801,2,2
MDIA802,2,2
MORG101,741,396
MORG102,436,278
MORG103,619,343
MORG104,674,406
MORG105,615,398
MORG106,585,387
MORG107,724,409
MORG108,519,234
MVIE101,197,189
MVIE102,251,206
MVIE801 0,0,0
MVIE802 0,4,1
NCYN101,224,179
NICH801,2,4
NRIC101,344,207
NRTV801,2,1
NRTV802,0,6
OKLY101,277,243
OKLY102,277,308
OKLY103,324,305
OKLY104,500,410
OKLY105,297,279
OKLY106,351,361
OKLY107,190,187
OKLY108,220,232
OKLY109,225,209
OKLY110,249,338
OKLY111,193,236
OKLY112,199,238
OKLY113,441,445
OKLY114,300,370
OKLY115,292,275
OKLY116,370,343
OKLY117,234,233
OKLY118,167,163
OKLY119,191,182
OKLY801,2,0
OLEU801,6,2
OLEU802,5,6
ORDA101,834,397
ORDA102,366,193
ORDA103,521,263
ORDA104,302,157
ORDA105,589,335
ORDA106,721,323
ORDA107,711,371
ORDA108,687,318
ORDA109,469,189
ORDA110,259,98
ORDA111,672,386
ORDA112,509,263
ORDA113,231,99
ORDA801,1,2
PACH101,442,411
PACH102,252,204
PACH801,3,0
PACH802,46,36
PACH803,1,1
PINL102,336,232
PINL103,397,204
PINL104,282,196
PINL105,444,240
PINL106,350,177
PINL107,258,232
PINL108,408,293
PINL109,278,171
PINL110,442,347
PINL111,438,310
PINL112,454,338
PINL801,5,9
PINL802,111,48
PINL803,34,19
PLHL101,389,280
PLHL102,286,248
PLHL103,301,247
PLHL104,651,387
PLHL105,364,253
PLHL106,534,336
PLHL107,481,345
PLHL108,472,401
PLHL109,477,331
PLHL110,465,274
PLHL111,424,354
PLHL112,370,221
PLHL113,437,364
PLHL114,564,341
PLHL115,537,346
PLHL116,360,285
PLHL117,404,298
PLHL118,354,268
PLHL119,320,315
PRCO801,64,49
PTTS101,367,291
PTTS102,280,232
PTTS103,287,198
PTTS104,337,251
PTTS105,152,124
PTTS106,270,258
PTTS107,328,310
PTTS108,403,192
PTTS109,255,233
PTTS110,307,188
PTTS111,291,225
PTTS112,274,212
PTTS113,269,167
PTTS114,351,246
PTTS115,402,214
PTTS116,270,169
PTTS117,227,173
PTTS118,282,219
PTTS119,261,173
PTTS120,219,170
PTTS121,230,160
PTTS122,209,179
PTTS123,180,136
PTTS124,218,117
PTTS125,361,193
PTTS126,282,175
PTTS127,244,139
PTTS128,303,282
PTTS129,462,295
PTTS130,221,201
PTTS131,297,202
PTTS132,375,272
PTTS133,257,174
PTTS134,298,149
PTTS135,230,158
PTTS801,1,2
PTTS802,0,0
RICH101,499,306
RICH102,327,161
RICH103,461,206
RICH104,549,387
RICH105,678,400
RICH106,459,307
RICH107,131,50
RICH108,453,272
RICH109,239,112
RICH110,291,182
RICH111,236,111
RICH112,383,131
RICH113,497,173
RICH114,425,164
RICH115,363,144
RICH116,197,86
RICH117,316,154
RICH118,307,236
RICH119,268,141
RICH120,221,126
RICH121,121,63
RICH122,559,280
RICH123,511,370
RICH124,325,200
RICH125,318,245
RICH126,300,201
RICH127,280,204
RICH128,332,273
RICH129,254,153
RICH130,298,144
RICH131,297,162
RICH132,378,184
RICH133,361,151
RICH134,278,120
RICH135,329,130
RICH136,279,124
RICH137,425,157
RICH138,255,159
RICH139,559,368
RICH140,261,119
RICH141,389,171
RICH142,627,335
RICH143,558,342
RICH144,485,290
RICH145,591,352
RICH146,113,75
RICH147,305,110
RICH148,79,49
RICH149,193,88
RICH150,184,132
RICH151,225,176
RICH152,215,153
RICH153,237,94
RICH154,322,162
RICH155,343,130
RICH156,279,124
RICH801,13,8
RICH802,25,10
RICH803,100,62
RICH804,86,41
RICH805,55,30
RICH806,68,46
RICH807,0,0
RODO101,361,209
RODO102,404,269
RODO103,432,320
RODO104,364,252
ROLL101,324,301
SARA101,310,145
SARA102,550,299
SARA103,531,306
SARA105,293,185
SARA106,342,273
SARA801,0,2
SARA802,84,61
SHEL101,94,55
SHEL102,214,138
SPAB101,429,396
SPAB102,193,155
SPAB103,251,165
SPAB104,358,164
SPAB105,242,146
SPAB106,515,253
SPAB107,353,248
SPAB108,301,193
SPAB109,246,190
SPAB110,349,250
SRAM101,362,222
SRAM102,415,346
SRAM103,418,318
SRAM104,397,297
SRAM105,297,263
SRAM106,405,321
SRAM107,382,325
SRAM108,439,322
SRAM109,423,284
SRAM110,372,299
SRAM111,495,438
SRAM112,448,344
SRAM113,350,321
SRAM114,282,220
SRAM115,448,361
SRAM116,357,300
SRAM117,549,413
SRAM118,326,214
SRAM119,308,215
SRAM120,384,331
SRAM121,202,165
SRAM122,378,255
SRAM123,464,311
SRAM124,243,159
SRAM125,347,254
SRAM126,322,248
SRAM127,170,121
SRAM128,510,341
SRAM129,258,213
SRAM130,319,199
SRAM131,300,187
SRAM132,373,251
SRAM133,437,299
SRAM134,366,190
SRAM135,262,207
SRAM136,272,194
SRAM137,448,237
SRAM138,279,195
SRAM139,286,153
SRAM140,306,186
SRAM141,299,269
SRAM142,252,196
SRAM801,0,0
STMY801,71,38
TASJ101,99,97
TASJ801,0,1
TASJ802,56,51
TASJ803,13,19
TASJ804,42,41
TESO801,0,0
VIER801,4,7
VINE101,334,328
VINE102,181,177
VINE801,33,64
VINE802,35,46
VINE803 0,12,7
WALD101,373,253
WALD102,623,428
WALD103,299,271
WALD801,51,34
WLCR101,802,364
WLCR102,508,370
WLCR103,867,473
WLCR104,190,112
WLCR105,519,287
WLCR106,652,458
WLCR107,194,115
WLCR108,267,162
WLCR109,193,152
WLCR110,441,355
WLCR111,483,344
WLCR112,386,268
WLCR113,495,300
WLCR114,178,113
WLCR115,318,177
WLCR116,257,192
WLCR117,571,400
WLCR118,200,156
WLCR119,495,350
WLCR120,601,346
WLCR121,609,315
WLCR122,369,205
WLCR123,393,313
WLCR124,285,225
WLCR125,450,357
WLCR126,555,376
WLCR127,519,271
WLCR129,604,348
WLCR130,302,237
WLCR131,326,303
WLCR132,371,318
WLCR133,450,339
WLCR134,425,289
WLCR135,564,366
WLCR136,245,118
WLCR137,610,365
WLCR138,471,271
WLCR139,453,302
WLCR140,481,294
WLCR141,519,325
WLCR142,551,360
WLCR143,416,292
WLCR144,416,298
WLCR801,99,78
WLCR802,2,0
WLCR803,28,25
WLCR804,114,64
WLCR805,0,0
WLKN101,502,309
WLKN102,336,231
WLKN103,304,182
WLKN801,83,53
CALD801,6,3
CONC135,337,314
