Precinct,Yes,No
ALHA101,199,80
ALHA801,12,6
ALHA802,22,8
ALHA803,7,4
ALHA804,62,21
ALHA805,19,9
ALHA806,0,0
ALMO101,250,96
ALMO102,573,164
ALMO103,356,129
ALMO104,361,142
ALMO105,192,86
ALMO106,317,129
ALMO107,243,81
ALMO108,281,88
ALMO109,328,117
ALMO110,355,120
ALMO111,356,132
ALMO112,220,83
ANTI101,112,58
ANTI102,277,146
ANTI103,225,152
ANTI104,332,166
ANTI105,284,162
ANTI106,250,118
ANTI107,287,132
ANTI108,389,198
ANTI109,353,153
ANTI110,293,167
ANTI111,359,192
ANTI112,200,111
ANTI113,171,100
ANTI114,229,136
ANTI115,316,156
ANTI116,178,113
ANTI117,285,179
ANTI118,223,113
ANTI119,341,167
ANTI120,399,172
ANTI121,287,124
ANTI122,397,183
ANTI123,406,224
ANTI124,391,185
ANTI125,307,161
ANTI126,197,107
ANTI127,298,163
ANTI128,242,146
ANTI129,190,85
ANTI130,207,129
ANTI131,337,169
ANTI132,230,127
ANTI133,413,190
ANTI134,309,153
ANTI135,277,157
ANTI136,321,160
ANTI137,256,143
ANTI138,331,173
ANTI139,311,160
ANTI140,167,100
ANTI141,306,164
ANTI142,225,106
ANTI143,393,161
ANTI144,174,122
ANTI145,219,120
ANTI146,261,132
ANTI147,325,165
ANTI148,212,117
ANTI149,146,90
ANTI150,213,132
ANTI151,139,58
ANTI152,188,110
ANTI801,1,2
ANTI802,5,2
AYER101,158,84
BAPO101,337,172
BAPO102,93,54
BAPO103,293,137
BAPO104,210,123
BAPO105,219,125
BAPO106,248,103
BAPO107,290,175
BAPO108,169,77
BAPO109,225,127
BAPO801,0,0
BAPO802,2,1
BETH101,386,254
BETH801,0,0
BKDI801,6,0
BKDI802,90,54
BKDI803,1,0
BKDI804,2,0
BKHW101,425,169
BKHW102,385,163
BKHW103,293,102
BKHW104,370,122
BKHW105,260,111
BKHW106,346,133
BKHW107,400,119
BKHW108,361,98
BREN101,399,161
BREN102,280,116
BREN103,345,205
BREN104,313,149
BREN105,140,94
BREN106,157,65
BREN107,365,175
BREN108,411,177
BREN109,349,190
BREN110,318,155
BREN111,534,230
BREN112,306,143
BREN113,249,135
BREN114,195,90
BREN115,219,118
BREN116,519,194
BREN117,167,70
BREN118,306,173
BREN119,353,139
BREN120,222,136
BREN121,211,83
BREN122,224,124
BREN123,284,167
BREN124,434,235
BREN125,62,45
BREN126,344,149
BREN127,618,183
BREN128,567,157
BREN129,163,67
BREN130,292,165
BREN131,175,113
BREN132,225,99
BREN133,231,135
BREN801,3,1
BREN802,30,15
BRHL101,292,68
BRHL102,259,72
BRHL103,379,115
BRHL801,0,0
BRVL101,131,79
BRVL801,78,25
BYRN101,131,82
BYRN801,37,43
BYRN802,14,10
BYRN803,1,0
CANY801,87,24
CASR101,169,55
CLAY101,407,146
CLAY102,419,168
CLAY103,249,103
CLAY104,296,151
CLAY105,470,171
CLAY106,305,131
CLAY107,470,214
CLYD101,138,81
CONC101,202,76
CONC102,285,136
CONC103,313,144
CONC104,296,123
CONC105,339,129
CONC106,300,112
CONC107,396,148
CONC108,323,109
CONC109,330,153
CONC110,314,111
CONC111,326,127
CONC112,287,131
CONC113,346,143
CONC114,280,151
CONC115,471,174
CONC116,393,130
CONC117,333,155
CONC118,513,162
CONC119,324,141
CONC120,380,137
CONC121,341,111
CONC122,269,107
CONC123,404,129
CONC124,410,155
CONC125,284,135
CONC126,427,193
CONC127,206,85
CONC128,401,157
CONC129,294,101
CONC130,186,68
CONC131,266,93
CONC132,244,89
CONC133,304,137
CONC134,333,121
CONC136,508,200
CONC137,257,96
CONC138,326,119
CONC139,285,123
CONC140,261,82
CONC141,277,95
CONC142,276,105
CONC143,477,119
CONC144,474,125
CONC145,310,121
CONC146,281,126
CONC147,326,147
CONC148,452,181
CONC149,328,119
CONC150,378,123
CONC151,163,69
CONC152,341,107
CONC153,329,102
CONC154,234,79
CONC155,252,91
CONC156,311,129
CONC157,255,126
CONC158,325,134
CONC159,396,124
CONC160,267,99
CONC161,346,103
CONC163,248,109
CONC164,371,115
CONC165,251,94
CONC801,14,0
CONC802,3,2
CONC803,0,0
CONC804,12,2
CROC101,476,215
CROC102,240,106
CROC801,0,0
DANV101,235,89
DANV102,177,55
DANV103,354,109
DANV104,427,151
DANV105,446,139
DANV106,369,169
DANV107,493,145
DANV108,469,126
DANV109,261,89
DANV110,167,66
DANV111,259,59
DANV112,391,155
DANV113,296,88
DANV114,411,127
DANV115,304,117
DANV116,258,61
DANV117,364,111
DANV118,389,88
DANV119,560,180
DANV120,400,167
DANV121,263,88
DANV122,307,120
DANV123,294,111
DANV124,237,80
DANV125,161,53
DANV126,535,158
DANV127,303,104
DANV128,234,92
DANV129,430,139
DANV130,322,100
DBAY101,489,279
DBAY102,391,239
DBAY103,196,107
DBAY104,339,239
DBAY105,149,80
DBAY106,457,265
DBAY107,328,182
DBAY801,48,39
DIAB101,262,93
ELCR101,539,121
ELCR102,523,122
ELCR103,312,115
ELCR104,593,99
ELCR105,412,76
ELCR106,318,70
ELCR107,320,87
ELCR108,390,73
ELCR109,480,116
ELCR110,500,98
ELCR111,412,95
ELCR112,338,94
ELCR113,588,103
ELCR114,330,68
ELCR115,265,76
ELSO101,338,151
ELSO102,407,137
ELSO103,251,90
ELSO104,317,119
ELSO105,426,182
ELSO106,342,124
ELSO107,160,72
ELSO801,0,0
ELSO802,65,26
ELSO803,3,6
ERIC101,444,142
ERIC102,504,144
ERIC103,179,55
ERIC801,19,3
FAIR801,1,0
GIAN101,265,129
GIAN102,223,89
GIAN103,319,163
GIAN104,389,149
GIAN105,236,121
HERC101,464,184
HERC102,477,221
HERC103,267,99
HERC104,335,132
HERC105,244,87
HERC106,329,133
HERC107,367,150
HERC108,300,126
HERC109,397,137
HERC110,296,119
HERC111,309,122
HERC113,444,141
HERC114,308,129
KENS101,303,65
KENS102,379,52
KENS103,543,85
KENS104,467,65
KENS801,0,0
KENS802,0,0
KNGT101,204,168
KNGT801,14,9
KNGT802,0,1
KNGT803,26,23
KNGT804,38,8
LAST801,12,7
LFET101,435,99
LFET102,319,89
LFET103,358,66
LFET104,393,82
LFET105,366,71
LFET106,329,93
LFET107,501,129
LFET108,523,124
LFET109,573,108
LFET110,331,68
LFET111,367,104
LFET112,154,49
LFET113,364,97
LFET114,351,76
LFET115,295,91
LFET116,444,120
LFET117,495,148
MARC801,68,46
MARC802,4,6
MARC803,8,4
MART101,213,82
MART103,136,59
MART104,403,134
MART106,174,65
MART107,360,164
MART108,345,137
MART109,355,104
MART110,224,87
MART111,499,179
MART112,318,99
MART114,234,82
MART115,274,111
MART116,175,71
MART117,189,77
MART118,277,124
MART120,390,116
MART125,260,117
MART126 0,173,69
MART801,1,0
MART802,74,24
MART803,23,7
MART804,72,15
MART805,47,19
MART806 0,49,21
MART807 0,35,10
MART808 0,56,25
MART809 0,7,0
MART810 0,36,11
MART811 0,61,19
MART812 0,11,6
MART813 0,62,19
MART814 0,3,1
MART815 0,41,27
MART816 0,14,7
MART817 0,27,4
MART818 0,77,30
MART819 0,10,8
MART820 0,52,9
MART821 0,64,26
MART822 0,65,33
MART823 0,13,6
MART824 0,5,7
MART825 0,7,5
MART826 0,50,39
MART827 0,0,0
MART828 0,13,2
MART829 0,2,0
MART830 0,64,35
MART831 0,102,49
MART832 0,90,49
MART833 0,92,45
MART834 0,121,70
MART835 0,123,37
MART836 0,111,31
MART837 0,64,24
MART838 0,38,13
MART839 0,105,47
MART840 0,108,24
MART841 0,134,30
MART842 0,107,54
MART843 0,95,35
MART844 0,119,25
MART845 0,5,3
MART846 0,172,57
MART847 0,152,46
MART848 0,66,22
MART849 0,90,29
MART850 0,188,40
MDIA101,170,47
MDIA801,4,0
MDIA802,3,1
MORG101,625,152
MORG102,354,109
MORG103,493,102
MORG104,570,143
MORG105,492,143
MORG106,509,129
MORG107,580,129
MORG108,357,86
MVIE101,198,104
MVIE102,212,107
MVIE801 0,0,0
MVIE802 0,4,1
NCYN101,225,87
NICH801,3,1
NRIC101,280,162
NRTV801,3,2
NRTV802,3,5
OKLY101,290,135
OKLY102,295,161
OKLY103,299,188
OKLY104,479,231
OKLY105,305,162
OKLY106,334,216
OKLY107,209,96
OKLY108,234,136
OKLY109,218,136
OKLY110,282,183
OKLY111,217,138
OKLY112,197,139
OKLY113,454,221
OKLY114,353,173
OKLY115,290,150
OKLY116,381,205
OKLY117,259,114
OKLY118,180,77
OKLY119,183,90
OKLY801,0,3
OLEU801,1,0
OLEU802,6,5
ORDA101,595,154
ORDA102,304,59
ORDA103,412,92
ORDA104,222,43
ORDA105,449,103
ORDA106,515,120
ORDA107,515,107
ORDA108,498,111
ORDA109,342,56
ORDA110,173,45
ORDA111,551,126
ORDA112,389,94
ORDA113,169,31
ORDA801,3,0
PACH101,435,183
PACH102,223,127
PACH801,0,3
PACH802,44,15
PACH803,1,1
PINL102,312,98
PINL103,328,134
PINL104,222,100
PINL105,368,140
PINL106,297,113
PINL107,263,86
PINL108,382,144
PINL109,230,81
PINL110,389,159
PINL111,401,131
PINL112,408,140
PINL801,6,6
PINL802,77,30
PINL803,27,5
PLHL101,359,119
PLHL102,257,104
PLHL103,290,103
PLHL104,562,152
PLHL105,344,102
PLHL106,413,135
PLHL107,421,119
PLHL108,451,153
PLHL109,436,113
PLHL110,412,127
PLHL111,372,134
PLHL112,290,77
PLHL113,372,152
PLHL114,446,160
PLHL115,482,144
PLHL116,334,100
PLHL117,379,153
PLHL118,332,120
PLHL119,361,139
PRCO801,48,27
PTTS101,368,155
PTTS102,295,106
PTTS103,280,94
PTTS104,343,111
PTTS105,157,58
PTTS106,283,123
PTTS107,331,169
PTTS108,319,131
PTTS109,273,117
PTTS110,272,122
PTTS111,248,150
PTTS112,246,122
PTTS113,238,99
PTTS114,324,140
PTTS115,347,137
PTTS116,223,114
PTTS117,207,84
PTTS118,259,126
PTTS119,222,106
PTTS120,198,101
PTTS121,196,106
PTTS122,208,102
PTTS123,184,78
PTTS124,181,81
PTTS125,297,151
PTTS126,241,119
PTTS127,203,90
PTTS128,323,152
PTTS129,399,173
PTTS130,217,126
PTTS131,281,119
PTTS132,382,141
PTTS133,227,93
PTTS134,225,114
PTTS135,197,92
PTTS801,1,1
PTTS802,0,0
RICH101,389,96
RICH102,251,64
RICH103,342,71
RICH104,486,110
RICH105,584,111
RICH106,376,154
RICH107,90,43
RICH108,372,84
RICH109,188,76
RICH110,247,74
RICH111,187,74
RICH112,236,132
RICH113,303,181
RICH114,281,169
RICH115,250,141
RICH116,150,65
RICH117,212,143
RICH118,267,122
RICH119,197,121
RICH120,171,106
RICH121,100,36
RICH122,433,154
RICH123,483,136
RICH124,249,80
RICH125,313,111
RICH126,268,97
RICH127,230,141
RICH128,339,118
RICH129,217,109
RICH130,221,126
RICH131,263,107
RICH132,301,105
RICH133,273,94
RICH134,202,87
RICH135,246,92
RICH136,215,104
RICH137,310,129
RICH138,228,61
RICH139,489,165
RICH140,183,80
RICH141,302,86
RICH142,491,144
RICH143,473,181
RICH144,415,115
RICH145,503,118
RICH146,87,57
RICH147,193,105
RICH148,60,34
RICH149,135,82
RICH150,185,77
RICH151,211,82
RICH152,208,79
RICH153,170,85
RICH154,248,118
RICH155,256,93
RICH156,190,65
RICH801,16,5
RICH802,18,5
RICH803,78,29
RICH804,64,24
RICH805,49,8
RICH806,64,27
RICH807,0,0
RODO101,304,140
RODO102,350,151
RODO103,401,177
RODO104,304,147
ROLL101,359,124
SARA101,253,56
SARA102,441,112
SARA103,434,100
SARA105,250,72
SARA106,349,105
SARA801,2,0
SARA802,70,24
SHEL101,73,29
SHEL102,181,38
SPAB101,446,234
SPAB102,202,85
SPAB103,228,102
SPAB104,288,129
SPAB105,201,67
SPAB106,409,163
SPAB107,336,137
SPAB108,285,110
SPAB109,249,95
SPAB110,325,141
SRAM101,308,113
SRAM102,419,124
SRAM103,378,106
SRAM104,357,117
SRAM105,290,91
SRAM106,408,122
SRAM107,367,130
SRAM108,438,114
SRAM109,412,109
SRAM110,358,118
SRAM111,510,157
SRAM112,396,134
SRAM113,337,102
SRAM114,288,93
SRAM115,414,160
SRAM116,341,144
SRAM117,473,134
SRAM118,299,90
SRAM119,291,69
SRAM120,376,151
SRAM121,192,73
SRAM122,352,99
SRAM123,448,138
SRAM124,226,80
SRAM125,305,126
SRAM126,315,105
SRAM127,178,45
SRAM128,477,152
SRAM129,238,72
SRAM130,298,93
SRAM131,312,65
SRAM132,310,111
SRAM133,385,98
SRAM134,308,90
SRAM135,283,66
SRAM136,265,84
SRAM137,419,102
SRAM138,265,84
SRAM139,254,71
SRAM140,304,73
SRAM141,277,112
SRAM142,273,72
SRAM801,0,0
STMY801,52,11
TASJ101,110,46
TASJ801,1,0
TASJ802,49,30
TASJ803,13,11
TASJ804,59,7
TESO801,0,0
VIER801,2,4
VINE101,364,175
VINE102,183,113
VINE801,43,33
VINE802,31,24
VINE803 0,7,5
WALD101,312,103
WALD102,592,175
WALD103,343,81
WALD801,43,15
WLCR101,564,113
WLCR102,470,100
WLCR103,681,124
WLCR104,154,28
WLCR105,416,107
WLCR106,544,167
WLCR107,159,45
WLCR108,231,50
WLCR109,174,64
WLCR110,416,120
WLCR111,427,144
WLCR112,342,106
WLCR113,453,82
WLCR114,147,43
WLCR115,246,56
WLCR116,236,78
WLCR117,489,159
WLCR118,193,56
WLCR119,460,117
WLCR120,505,106
WLCR121,444,109
WLCR122,270,86
WLCR123,402,118
WLCR124,263,88
WLCR125,417,132
WLCR126,439,131
WLCR127,430,85
WLCR129,467,113
WLCR130,289,73
WLCR131,334,78
WLCR132,368,122
WLCR133,421,115
WLCR134,379,96
WLCR135,500,132
WLCR136,167,51
WLCR137,477,127
WLCR138,369,130
WLCR139,371,123
WLCR140,441,88
WLCR141,413,113
WLCR142,498,117
WLCR143,386,104
WLCR144,369,101
WLCR801,100,36
WLCR802,2,0
WLCR803,31,6
WLCR804,96,33
WLCR805,0,0
WLKN101,430,105
WLKN102,289,83
WLKN103,266,69
WLKN801,65,25
CALD801,5,0
CONC135,318,132
