Precinct,STEVEN C BAILEY,XAVIER BECERRA
RICH139,173,770
RICH140,69,322
RICH141,114,471
RICH142,187,794
RICH143,95,807
RICH144,102,686
RICH145,89,874
RICH146,6,174
RICH147,37,370
RICH148,19,109
RICH149,29,251
RICH150,37,282
RICH151,66,340
RICH152,41,329
RICH153,39,289
RICH154,43,440
RICH155,44,428
RICH156,71,343
RICH801,7,16
RICH802,2,33
RICH803,39,126
RICH804,26,101
RICH805,3,75
RICH806,26,100
RICH807,0,0
RODO101,173,434
RODO102,153,549
RODO103,235,544
RODO104,153,481
ROLL101,105,544
SARA101,113,366
SARA102,179,710
SARA103,224,653
SARA105,151,368
SARA106,200,451
SARA801,0,2
SARA802,53,109
SHEL101,66,96
SHEL102,97,267
SPAB101,71,762
SPAB102,45,309
SPAB103,55,363
SPAB104,75,453
SPAB105,54,341
SPAB106,106,659
SPAB107,102,514
SPAB108,63,438
SPAB109,49,390
SPAB110,82,520
SRAM101,230,401
SRAM102,251,544
SRAM103,349,442
SRAM104,302,453
SRAM105,202,379
SRAM106,291,487
SRAM107,314,455
SRAM108,259,557
SRAM109,265,509
SRAM110,309,418
SRAM111,350,641
SRAM112,345,502
SRAM113,295,424
SRAM114,247,305
SRAM115,328,543
SRAM116,270,420
SRAM117,366,649
SRAM118,222,368
SRAM119,170,377
SRAM120,341,435
SRAM121,181,210
SRAM122,167,481
SRAM123,185,612
SRAM124,100,324
SRAM125,253,385
SRAM126,202,405
SRAM127,75,222
SRAM128,278,594
SRAM129,215,284
SRAM130,213,347
SRAM131,121,369
SRAM132,229,425
SRAM133,218,549
SRAM134,148,417
SRAM135,120,367
SRAM136,193,297
SRAM137,192,512
SRAM138,148,350
SRAM139,164,312
SRAM140,132,384
SRAM141,218,373
SRAM142,116,359
SRAM801,0,0
STMY801,57,68
TASJ101,139,90
TASJ801,1,0
TASJ802,69,54
TASJ803,26,11
TASJ804,18,69
TESO801,0,0
VIER801,8,3
VINE101,259,447
VINE102,123,257
VINE801,48,52
VINE802,29,55
VINE803 0,5,14
WALD101,180,486
WALD102,257,856
WALD103,128,462
WALD801,10,73
WLCR101,366,846
WLCR102,249,677
WLCR103,490,949
WLCR104,110,208
WLCR105,287,551
WLCR106,323,848
WLCR107,78,243
WLCR108,136,332
WLCR109,143,224
WLCR110,271,569
WLCR111,263,628
WLCR112,191,509
WLCR113,204,633
WLCR114,75,229
WLCR115,182,346
WLCR116,180,313
WLCR117,378,679
WLCR118,155,237
WLCR119,267,620
WLCR120,267,734
WLCR121,281,707
WLCR122,182,432
WLCR123,136,582
WLCR124,110,420
WLCR125,297,553
WLCR126,220,732
WLCR127,249,594
WLCR129,285,723
WLCR130,223,370
WLCR131,202,459
WLCR132,354,398
WLCR133,236,598
WLCR134,289,486
WLCR135,250,732
WLCR136,114,273
WLCR137,295,748
WLCR138,311,500
WLCR139,296,500
WLCR140,314,531
WLCR141,315,587
WLCR142,250,705
WLCR143,196,539
WLCR144,161,564
WLCR801,71,119
WLCR802,0,2
WLCR803,20,38
WLCR804,58,133
WLCR805,0,0
WLKN101,285,581
WLKN102,215,401
WLKN103,165,348
WLKN801,57,93
CALD801,3,5
CONC135,332,396
