Precinct,Yes,No
ALHA101,275,214
ALHA801,17,8
ALHA802,31,21
ALHA803,9,4
ALHA804,64,59
ALHA805,22,31
ALHA806,0,1
ALMO101,313,263
ALMO102,686,509
ALMO103,514,272
ALMO104,489,363
ALMO105,284,201
ALMO106,408,352
ALMO107,358,242
ALMO108,350,249
ALMO109,441,315
ALMO110,451,358
ALMO111,458,329
ALMO112,292,210
ANTI101,102,110
ANTI102,294,266
ANTI103,272,235
ANTI104,344,336
ANTI105,292,275
ANTI106,279,257
ANTI107,301,266
ANTI108,515,353
ANTI109,416,330
ANTI110,333,287
ANTI111,433,356
ANTI112,224,199
ANTI113,181,175
ANTI114,266,244
ANTI115,321,293
ANTI116,186,199
ANTI117,318,347
ANTI118,249,212
ANTI119,408,283
ANTI120,470,336
ANTI121,267,297
ANTI122,412,373
ANTI123,449,415
ANTI124,444,366
ANTI125,342,295
ANTI126,236,206
ANTI127,366,276
ANTI128,295,228
ANTI129,196,183
ANTI130,242,236
ANTI131,363,333
ANTI132,289,216
ANTI133,440,361
ANTI134,340,305
ANTI135,308,271
ANTI136,342,301
ANTI137,283,264
ANTI138,364,324
ANTI139,334,306
ANTI140,192,177
ANTI141,368,283
ANTI142,247,197
ANTI143,415,358
ANTI144,218,191
ANTI145,234,212
ANTI146,305,244
ANTI147,332,319
ANTI148,197,230
ANTI149,158,150
ANTI150,247,244
ANTI151,139,146
ANTI152,208,212
ANTI801,2,1
ANTI802,7,4
AYER101,229,139
BAPO101,320,304
BAPO102,92,94
BAPO103,279,247
BAPO104,204,216
BAPO105,223,210
BAPO106,271,192
BAPO107,380,262
BAPO108,169,149
BAPO109,218,220
BAPO801,0,4
BAPO802,1,2
BETH101,512,449
BETH801,0,0
BKDI801,4,5
BKDI802,119,76
BKDI803,2,0
BKDI804,2,0
BKHW101,592,386
BKHW102,502,352
BKHW103,346,293
BKHW104,463,247
BKHW105,338,229
BKHW106,502,280
BKHW107,483,296
BKHW108,442,242
BREN101,456,318
BREN102,313,273
BREN103,473,365
BREN104,435,275
BREN105,159,164
BREN106,203,122
BREN107,431,356
BREN108,487,353
BREN109,450,387
BREN110,407,316
BREN111,643,469
BREN112,353,248
BREN113,333,258
BREN114,263,164
BREN115,320,201
BREN116,723,468
BREN117,209,166
BREN118,389,302
BREN119,404,332
BREN120,280,233
BREN121,270,199
BREN122,313,238
BREN123,394,297
BREN124,528,402
BREN125,102,60
BREN126,456,290
BREN127,790,552
BREN128,749,507
BREN129,219,149
BREN130,360,281
BREN131,256,174
BREN132,281,185
BREN133,288,233
BREN801,3,1
BREN802,34,30
BRHL101,309,226
BRHL102,337,225
BRHL103,427,348
BRHL801,0,0
BRVL101,224,108
BRVL801,104,55
BYRN101,177,135
BYRN801,69,46
BYRN802,20,17
BYRN803,2,0
CANY801,100,43
CASR101,215,160
CLAY101,489,364
CLAY102,537,417
CLAY103,330,248
CLAY104,426,328
CLAY105,598,422
CLAY106,414,306
CLAY107,617,454
CLYD101,181,135
CONC101,205,177
CONC102,350,252
CONC103,383,274
CONC104,364,271
CONC105,398,264
CONC106,360,236
CONC107,452,313
CONC108,388,265
CONC109,448,294
CONC110,392,242
CONC111,390,268
CONC112,397,243
CONC113,412,312
CONC114,375,270
CONC115,544,423
CONC116,415,295
CONC117,395,271
CONC118,530,345
CONC119,383,263
CONC120,446,279
CONC121,380,299
CONC122,328,267
CONC123,488,286
CONC124,491,369
CONC125,337,304
CONC126,544,382
CONC127,292,195
CONC128,543,352
CONC129,359,249
CONC130,229,161
CONC131,360,199
CONC132,294,221
CONC133,373,293
CONC134,395,268
CONC136,614,445
CONC137,309,208
CONC138,411,291
CONC139,347,236
CONC140,329,192
CONC141,322,238
CONC142,315,259
CONC143,553,346
CONC144,525,355
CONC145,301,272
CONC146,333,249
CONC147,353,300
CONC148,534,369
CONC149,386,292
CONC150,442,304
CONC151,240,144
CONC152,413,283
CONC153,388,286
CONC154,283,169
CONC155,303,233
CONC156,398,292
CONC157,360,219
CONC158,397,261
CONC159,489,307
CONC160,339,248
CONC161,404,296
CONC163,276,220
CONC164,402,363
CONC165,277,182
CONC801,19,16
CONC802,2,3
CONC803,0,0
CONC804,5,15
CROC101,680,371
CROC102,333,188
CROC801,0,1
DANV101,300,280
DANV102,248,183
DANV103,426,273
DANV104,571,408
DANV105,600,381
DANV106,566,337
DANV107,626,394
DANV108,551,449
DANV109,345,244
DANV110,215,173
DANV111,306,206
DANV112,499,375
DANV113,377,246
DANV114,508,381
DANV115,402,269
DANV116,287,193
DANV117,501,276
DANV118,425,333
DANV119,704,477
DANV120,556,381
DANV121,316,222
DANV122,389,282
DANV123,411,284
DANV124,289,214
DANV125,225,150
DANV126,640,435
DANV127,377,262
DANV128,318,220
DANV129,564,380
