Precinct,Yes,No
ANTI101,136,77
ANTI102,356,212
ANTI103,365,136
ANTI104,450,231
ANTI105,380,185
ANTI106,330,198
ANTI107,358,209
ANTI108,512,352
ANTI109,473,278
ANTI110,411,212
ANTI111,489,308
ANTI112,260,158
ANTI113,239,116
ANTI114,371,142
ANTI115,402,210
ANTI116,248,125
ANTI117,382,272
ANTI118,276,189
ANTI119,487,204
ANTI120,528,275
ANTI121,388,171
ANTI122,551,221
ANTI123,579,272
ANTI124,545,256
ANTI125,409,223
ANTI126,277,170
ANTI127,388,248
ANTI128,332,192
ANTI129,214,159
ANTI130,304,167
ANTI131,426,268
ANTI132,327,172
ANTI133,565,231
ANTI134,430,211
ANTI135,402,177
ANTI136,418,219
ANTI137,356,188
ANTI138,448,237
ANTI139,439,188
ANTI140,242,127
ANTI141,455,193
ANTI142,319,122
ANTI143,525,238
ANTI144,272,137
ANTI145,315,125
ANTI146,347,208
ANTI147,411,237
ANTI148,337,80
ANTI149,216,83
ANTI150,303,187
ANTI151,201,80
ANTI152,300,116
ANTI801,2,1
ANTI802,8,4
