Precinct,Yes,No
ALHA101,334,160
ALHA801,19,7
ALHA802,41,12
ALHA804,90,33
ALHA805,35,19
ALHA806,0,1
BRHL101,318,133
BRHL801,0,0
MART101,362,85
MART103,251,58
MART104,633,170
MART106,316,51
MART107,572,167
MART108,577,188
MART109,573,133
MART111,179,63
MART116,290,85
MART117,331,142
MART118,460,159
MART801,1,0
MART802,117,49
MART803,39,15
MART806 0,78,11
MART807 0,54,8
MART808 0,107,23
MART809 0,7,0
MART810 0,61,28
MART811 0,86,20
MART812 0,21,3
MART813 0,91,19
MART814 0,6,0
MART815 0,77,11
MART816 0,24,7
MART817 0,26,8
MART818 0,107,37
MART819 0,18,10
MART820 0,69,14
MART821 0,103,35
MART822 0,124,34
MART823 0,19,4
MART824 0,17,2
MART825 0,16,5
MART826 0,81,53
MART827 0,0,0
MART828 0,18,8
MART829 0,2,2
MART830 0,125,23
MART831 0,185,48
MART832 0,193,46
MART833 0,177,25
MART834 0,225,71
MART835 0,169,54
MART836 0,170,60
MART837 0,112,9
MART838 0,57,18
MART843 0,141,65
MART844 0,186,67
MART845 0,9,1
MVIE101,321,89
MVIE102,373,107
MVIE801 0,0,0
MVIE802 0,5,1
VINE101,545,162
VINE102,298,82
VINE801,77,29
VINE803 0,17,3
